1, Man Utd,20,16,1,3,50:28,22,49
2, Man City,20,12,6,2,38:19,19,42
3, Chelsea,20,11,6,3,41:20,21,39
4, Arsenal,20,10,6,4,44:22,22,36
5, Spurs,20,11,3,6,36:26,10,36
6, Everton,20,8,9,3,33:25,8,33
7, West Brom,20,10,3,7,28:25,3,33
8, Stoke City,20,6,11,3,21:17,4,29
9, Liverpool,20,7,7,6,31:26,5,28
10, Swansea,20,7,7,6,29:24,5,28
11, Norwich,20,6,7,7,23:32,-9,25
12, West Ham ,20,6,5,9,23:28,-5,23
13, Sunderland,20,5,7,8,21:26,-5,22
14, Fulham,20,5,6,9,30:36,-6,21
15, Newcastle,20,5,5,10,26:37,-11,20
16, Southampton ,20,4,6,10,28:39,-11,18
17, Wigan,20,5,3,12,22:35,-13,18
18, Aston Villa,20,4,6,10,15:39,-24,18
19, Reading ,20,2,7,11,22:37,-15,13
20, QPR,20,1,7,12,16:36,-20,10
