1, Chelsea,9,7,1,1,25:2,23,22
2, Arsenal,9,5,2,2,21:10,11,17
3, Man Utd,9,4,5,0,20:12,8,17
4, Man City,9,5,2,2,12:8,4,17
5, Spurs,9,4,3,2,11:8,3,15
6, West Brom,9,4,3,2,13:15,-2,15
7, Sunderland,9,2,6,1,8:7,1,12
8, Bolton,9,2,6,1,13:13,0,12
9, Newcastle,9,3,2,4,14:13,1,11
10, Aston Villa,9,3,2,4,9:13,-4,11
11, Everton,9,2,4,3,9:8,1,10
12, Birmingham,9,2,4,3,10:12,-2,10
13, Stoke City,9,3,1,5,10:13,-3,10
14, Blackpool,9,3,1,5,13:20,-7,10
15, Wigan,9,2,4,3,7:16,-9,10
16, Fulham,9,1,6,2,10:11,-1,9
17, Blackburn,9,2,3,4,8:10,-2,9
18, Liverpool,9,2,3,4,9:14,-5,9
19, Wolves ,9,1,3,5,8:15,-7,6
20, West Ham,9,1,3,5,7:17,-10,6
