1, Man City,17,14,2,1,53:15,38,44
2, Man Utd,17,13,3,1,42:14,28,42
3, Spurs,17,12,2,3,34:19,15,38
4, Chelsea,17,10,3,4,35:20,15,33
5, Arsenal,17,10,2,5,33:25,8,32
6, Liverpool,17,8,6,3,20:13,7,30
7, Newcastle,17,7,6,4,23:22,1,27
8, Stoke City,17,7,3,7,18:28,-10,24
9, Norwich ,17,5,6,6,27:31,-4,21
10, West Brom,17,6,3,8,19:26,-7,21
11, Everton,17,6,2,9,17:21,-4,20
12, Aston Villa,17,4,7,6,19:23,-4,19
13, Fulham,17,4,6,7,18:23,-5,18
14, Swansea ,17,4,6,7,16:21,-5,18
15, Sunderland,17,4,5,8,21:21,0,17
16, QPR ,17,4,4,9,17:31,-14,16
17, Wolves,17,4,3,10,19:32,-13,15
18, Wigan,17,3,5,9,15:30,-15,14
19, Bolton,17,4,0,13,22:39,-17,12
20, Blackburn,17,2,4,11,24:38,-14,10
