1, Arsenal,11,8,1,2,22:10,12,25
2, Liverpool,11,7,2,2,21:10,11,23
3, Southampton,11,6,4,1,15:5,10,22
4, Chelsea,11,6,3,2,18:10,8,21
5, Man Utd,11,6,2,3,18:13,5,20
6, Everton,11,5,5,1,14:10,4,20
7, Spurs,11,6,2,3,9:6,3,20
8, Man City,11,6,1,4,28:12,16,19
9, Newcastle,11,5,2,4,15:16,-1,17
10, West Brom,11,3,5,3,12:12,0,14
11, Aston Villa,11,4,2,5,11:12,-1,14
12, Hull City ,11,4,2,5,9:14,-5,14
13, Swansea,11,3,3,5,15:15,0,12
14, Cardiff ,11,3,3,5,9:15,-6,12
15, Norwich,11,3,2,6,9:21,-12,11
16, West Ham,11,2,4,5,9:11,-2,10
17, Stoke City,11,2,4,5,10:14,-4,10
18, Fulham,11,3,1,7,10:19,-9,10
19, Sunderland,11,2,1,8,8:22,-14,7
20, Crystal Palace ,11,1,1,9,6:21,-15,4
