1, Chelsea,2,2,0,0,12:0,12,6
2, Arsenal,2,1,1,0,7:1,6,4
3, Man Utd,2,1,1,0,5:2,3,4
4, Man City,2,1,1,0,3:0,3,4
5, Bolton,2,1,1,0,3:1,2,4
6, Birmingham,2,1,1,0,4:3,1,4
7, Wolves ,2,1,1,0,3:2,1,4
8, Spurs,2,1,1,0,2:1,1,4
9, Newcastle,2,1,0,1,6:3,3,3
10, Blackburn,2,1,0,1,2:2,0,3
11, Blackpool,2,1,0,1,4:6,-2,3
12, Aston Villa,2,1,0,1,3:6,-3,3
13, West Brom,2,1,0,1,1:6,-5,3
14, Fulham,2,0,2,0,2:2,0,2
15, Sunderland,2,0,1,1,2:3,-1,1
16, Everton,2,0,1,1,1:2,-1,1
17, Liverpool,2,0,1,1,1:4,-3,1
18, Stoke City,2,0,0,2,2:4,-2,0
19, West Ham,2,0,0,2,1:6,-5,0
20, Wigan,2,0,0,2,0:10,-10,0
