1, Chelsea,11,8,2,1,27:4,23,26
2, Liverpool,11,8,2,1,16:8,8,26
3, Man Utd,11,7,3,1,22:8,14,24
4, Arsenal,11,6,2,3,23:12,11,20
5, Aston Villa,11,6,2,3,19:14,5,20
6, Hull City ,11,6,2,3,17:18,-1,20
7, Everton,11,4,3,4,15:19,-4,15
8, Middlesbrough,11,4,2,5,11:16,-5,14
9, Portsmouth FC,11,4,2,5,11:17,-6,14
10, Man City,11,4,1,6,23:18,5,13
11, West Ham,11,4,1,6,15:19,-4,13
12, Stoke City ,11,4,1,6,13:19,-6,13
13, Blackburn,11,3,4,4,13:20,-7,13
14, Newcastle,11,3,3,5,14:18,-4,12
15, Sunderland,11,3,3,5,9:16,-7,12
16, Wigan,11,3,2,6,13:16,-3,11
17, Bolton,11,3,2,6,10:13,-3,11
18, Fulham,11,3,2,6,8:12,-4,11
19, West Brom,11,3,2,6,10:18,-8,11
20, Spurs,11,2,3,6,13:17,-4,9
