1, Liverpool,15,10,4,1,21:8,13,34
2, Chelsea,15,10,3,2,33:6,27,33
3, Man Utd,15,9,4,2,29:10,19,31
4, Arsenal,15,8,2,5,27:19,8,26
5, Aston Villa,15,7,4,4,22:16,6,25
6, Hull City ,15,6,5,4,22:24,-2,23
7, Everton,15,6,4,5,20:22,-2,22
8, Portsmouth FC,15,6,4,5,18:22,-4,22
9, Bolton,15,6,2,7,18:17,1,20
10, Wigan,15,5,4,6,18:19,-1,19
11, Fulham,15,5,4,6,12:14,-2,19
12, Middlesbrough,15,5,4,6,15:21,-6,19
13, West Ham,15,5,3,7,17:22,-5,18
14, Stoke City ,15,5,3,7,15:25,-10,18
15, Man City,15,5,2,8,29:23,6,17
16, Spurs,15,4,3,8,17:21,-4,15
17, Newcastle,15,3,6,6,17:22,-5,15
18, Sunderland,15,4,3,8,13:24,-11,15
19, Blackburn,15,3,4,8,16:28,-12,13
20, West Brom,15,3,2,10,11:27,-16,11
