1, Spurs,2,2,0,0,5:0,5,6
2, Chelsea,2,2,0,0,5:1,4,6
3, Man City,2,2,0,0,5:1,4,6
4, Swansea,2,2,0,0,3:1,2,6
5, Arsenal,2,1,1,0,4:3,1,4
6, Hull City,2,1,1,0,2:1,1,4
7, Aston Villa,2,1,1,0,1:0,1,4
8, West Ham,2,1,0,1,3:2,1,3
9, Liverpool,2,1,0,1,3:4,-1,3
10, Everton,2,0,2,0,4:4,0,2
11, Sunderland,2,0,2,0,3:3,0,2
12, West Brom,2,0,2,0,2:2,0,2
13, Man Utd,2,0,1,1,2:3,-1,1
14, Southampton,2,0,1,1,1:2,-1,1
15, Stoke City,2,0,1,1,1:2,-1,1
16, Leicester ,2,0,1,1,2:4,-2,1
17, Newcastle,2,0,1,1,0:2,-2,1
18, Crystal Palace,2,0,0,2,2:5,-3,0
19, Burnley ,2,0,0,2,1:4,-3,0
20, QPR ,2,0,0,2,0:5,-5,0
