1, Chelsea,3,3,0,0,8:2,6,9
2, Swansea,3,2,1,0,10:2,8,7
3, West Brom,3,2,1,0,6:1,5,7
4, Man City,3,2,1,0,8:5,3,7
5, Man Utd,3,2,0,1,6:5,1,6
6, Everton,3,2,0,1,4:3,1,6
7, West Ham ,3,2,0,1,4:3,1,6
8, Sunderland,3,1,2,0,5:2,3,5
9, Arsenal,3,1,2,0,2:0,2,5
10, Wigan,3,1,1,1,4:4,0,4
11, Newcastle,3,1,1,1,3:4,-1,4
12, Fulham,3,1,0,2,7:6,1,3
13, Stoke City,3,0,3,0,3:3,0,3
14, Spurs,3,0,2,1,3:4,-1,2
15, Norwich,3,0,2,1,2:7,-5,2
16, Aston Villa,3,0,1,2,2:5,-3,1
17, Reading ,3,0,1,2,3:8,-5,1
18, Liverpool,3,0,1,2,2:7,-5,1
19, QPR,3,0,1,2,2:9,-7,1
20, Southampton ,3,0,0,3,4:8,-4,0
