1, Man City,25,19,3,3,64:19,45,60
2, Man Utd,25,18,4,3,61:25,36,58
3, Spurs,25,16,5,4,49:25,24,53
4, Arsenal,25,13,4,8,48:35,13,43
5, Chelsea,25,12,7,6,44:31,13,43
6, Newcastle,25,12,6,7,36:36,0,42
7, Liverpool,25,10,9,6,29:23,6,39
8, Norwich ,25,9,8,8,37:41,-4,35
9, Sunderland,25,9,6,10,34:26,8,33
10, Everton,25,9,6,10,26:27,-1,33
11, Swansea ,25,7,9,9,28:32,-4,30
12, Fulham,25,7,9,9,31:36,-5,30
13, Stoke City,25,8,6,11,24:38,-14,30
14, West Brom,25,8,5,12,29:35,-6,29
15, Aston Villa,25,6,10,9,29:34,-5,28
16, QPR ,25,5,6,14,27:44,-17,21
17, Blackburn,25,5,6,14,37:56,-19,21
18, Wolves,25,5,6,14,28:49,-21,21
19, Bolton,25,6,2,17,29:51,-22,20
20, Wigan,25,4,7,14,23:50,-27,19
