1, Man Utd,35,27,4,4,79:36,43,85
2, Man City,35,22,8,5,62:31,31,74
3, Chelsea,35,19,9,7,70:37,33,66
4, Arsenal,35,18,10,7,66:36,30,64
5, Spurs,35,18,9,8,62:45,17,63
6, Everton,35,15,14,6,52:38,14,59
7, Liverpool,35,14,12,9,67:42,25,54
8, West Brom,35,14,6,15,46:45,1,48
9, Swansea,35,11,12,12,46:46,0,45
10, West Ham ,35,11,9,15,41:49,-8,42
11, Fulham,35,10,10,15,44:53,-9,40
12, Stoke City,35,9,13,13,31:41,-10,40
13, Southampton ,35,9,12,14,47:57,-10,39
14, Norwich,35,8,14,13,33:54,-21,38
15, Sunderland,35,9,10,16,39:51,-12,37
16, Aston Villa,35,9,10,16,42:64,-22,37
17, Newcastle,35,10,7,18,43:66,-23,37
18, Wigan,35,8,8,19,41:65,-24,32
19, QPR,35,4,13,18,29:56,-27,25
20, Reading ,35,5,10,20,37:65,-28,25
