1, Chelsea,3,3,0,0,14:0,14,9
2, Arsenal,3,2,1,0,9:2,7,7
3, Man Utd,3,2,1,0,8:2,6,7
4, Aston Villa,3,2,0,1,4:6,-2,6
5, Bolton,3,1,2,0,5:3,2,5
6, Birmingham,3,1,2,0,6:5,1,5
7, Wolves ,3,1,2,0,4:3,1,5
8, Newcastle,3,1,1,1,7:4,3,4
9, Man City,3,1,1,1,3:1,2,4
10, Sunderland,3,1,1,1,3:3,0,4
11, Spurs,3,1,1,1,2:2,0,4
12, Blackpool,3,1,1,1,6:8,-2,4
13, Liverpool,3,1,1,1,2:4,-2,4
14, Fulham,3,0,3,0,4:4,0,3
15, Blackburn,3,1,0,2,3:4,-1,3
16, West Brom,3,1,0,2,1:7,-6,3
17, Wigan,3,1,0,2,1:10,-9,3
18, Everton,3,0,1,2,1:3,-2,1
19, Stoke City,3,0,0,3,2:6,-4,0
20, West Ham,3,0,0,3,1:9,-8,0
