1, Man City,2,2,0,0,6:0,6,6
2, Leicester,2,2,0,0,6:3,3,6
3, Man Utd,2,2,0,0,2:0,2,6
4, Liverpool,2,2,0,0,2:0,2,6
5, Everton,2,1,1,0,5:2,3,4
6, Swansea,2,1,1,0,4:2,2,4
7, Crystal Palace,2,1,0,1,4:3,1,3
8, West Ham,2,1,0,1,3:2,1,3
9, Norwich ,2,1,0,1,4:4,0,3
10, Aston Villa,2,1,0,1,1:1,0,3
11, Arsenal,2,1,0,1,2:3,-1,3
12, Watford ,2,0,2,0,2:2,0,2
13, Spurs,2,0,1,1,2:3,-1,1
14, Stoke City,2,0,1,1,2:3,-1,1
15, Newcastle,2,0,1,1,2:4,-2,1
16, Chelsea,2,0,1,1,2:5,-3,1
17, Southampton,2,0,1,1,2:5,-3,1
18, West Brom,2,0,1,1,0:3,-3,1
19, Bournemouth ,2,0,0,2,0:2,-2,0
20, Sunderland,2,0,0,2,3:7,-4,0
