1, Chelsea,1,1,0,0,3:1,2,3
2, Man City,1,1,0,0,2:0,2,3
3, Arsenal,1,1,0,0,2:1,1,3
4, Liverpool,1,1,0,0,2:1,1,3
5, Swansea,1,1,0,0,2:1,1,3
6, Aston Villa,1,1,0,0,1:0,1,3
7, Hull City,1,1,0,0,1:0,1,3
8, Spurs,1,1,0,0,1:0,1,3
9, Everton,1,0,1,0,2:2,0,1
10, Leicester ,1,0,1,0,2:2,0,1
11, Sunderland,1,0,1,0,2:2,0,1
12, West Brom,1,0,1,0,2:2,0,1
13, Crystal Palace,1,0,0,1,1:2,-1,0
14, Man Utd,1,0,0,1,1:2,-1,0
15, Southampton,1,0,0,1,1:2,-1,0
16, QPR ,1,0,0,1,0:1,-1,0
17, Stoke City,1,0,0,1,0:1,-1,0
18, West Ham,1,0,0,1,0:1,-1,0
19, Burnley ,1,0,0,1,1:3,-2,0
20, Newcastle,1,0,0,1,0:2,-2,0
