1, Man City,5,5,0,0,11:0,11,15
2, Leicester,5,3,2,0,11:7,4,11
3, Man Utd,5,3,1,1,6:3,3,10
4, Arsenal,5,3,1,1,5:3,2,10
5, West Ham,5,3,0,2,11:6,5,9
6, Crystal Palace,5,3,0,2,8:6,2,9
7, Everton,5,2,2,1,8:5,3,8
8, Swansea,5,2,2,1,7:5,2,8
9, Norwich ,5,2,1,2,8:9,-1,7
10, Liverpool,5,2,1,2,3:6,-3,7
11, Southampton,5,1,3,1,5:5,0,6
12, Spurs,5,1,3,1,4:4,0,6
13, Watford ,5,1,3,1,3:4,-1,6
14, West Brom,5,1,2,2,3:6,-3,5
15, Aston Villa,5,1,1,3,6:8,-2,4
16, Bournemouth ,5,1,1,3,6:9,-3,4
17, Chelsea,5,1,1,3,7:12,-5,4
18, Stoke City,5,0,2,3,3:7,-4,2
19, Sunderland,5,0,2,3,6:11,-5,2
20, Newcastle,5,0,2,3,2:7,-5,2
