1, Leicester,27,16,8,3,49:29,20,56
2, Spurs,27,15,9,3,49:21,28,54
3, Arsenal,27,15,6,6,43:26,17,51
4, Man City,27,14,6,7,49:29,20,48
5, Man Utd,27,12,8,7,36:26,10,44
6, West Ham,27,11,10,6,41:31,10,43
7, Liverpool,27,11,8,8,42:36,6,41
8, Southampton,27,11,7,9,35:26,9,40
9, Stoke City,27,11,6,10,29:33,-4,39
10, Watford ,27,10,7,10,29:28,1,37
11, Chelsea,27,9,9,9,40:37,3,36
12, Everton,27,8,11,8,46:39,7,35
13, West Brom,27,9,8,10,27:34,-7,35
14, Crystal Palace,27,9,5,13,29:35,-6,32
15, Bournemouth ,27,7,8,12,30:44,-14,29
16, Swansea,27,6,9,12,25:36,-11,27
17, Newcastle,27,6,7,14,28:50,-22,25
18, Norwich ,27,6,6,15,30:51,-21,24
19, Sunderland,27,6,5,16,32:51,-19,23
20, Aston Villa,27,3,7,17,21:48,-27,16
