1, Man Utd,24,14,9,1,52:23,29,51
2, Arsenal,24,15,4,5,49:22,27,49
3, Man City,24,13,6,5,37:20,17,45
4, Chelsea,24,13,5,6,44:20,24,44
5, Spurs,24,10,8,6,33:29,4,38
6, Sunderland,24,9,10,5,28:24,4,37
7, Newcastle,24,9,6,9,38:33,5,33
8, Liverpool,24,9,5,10,31:31,0,32
9, Blackpool,24,9,4,11,37:42,-5,31
10, Blackburn,24,9,4,11,31:37,-6,31
11, Bolton,24,7,9,8,34:35,-1,30
12, Stoke City,24,9,3,12,28:29,-1,30
13, Everton,24,5,13,6,28:30,-2,28
14, Aston Villa,24,7,7,10,27:40,-13,28
15, Fulham,24,5,11,8,25:26,-1,26
16, West Brom,24,7,5,12,30:44,-14,26
17, Birmingham,24,4,12,8,22:34,-12,24
18, Wolves ,24,6,4,14,25:42,-17,22
19, Wigan,24,4,10,10,20:39,-19,22
20, West Ham,24,4,9,11,24:43,-19,21
