1, Chelsea,27,19,4,4,63:22,41,61
2, Man Utd,27,18,3,6,63:24,39,57
3, Arsenal,27,17,4,6,63:30,33,55
4, Aston Villa,27,13,9,5,39:22,17,48
5, Spurs,27,13,7,7,48:26,22,46
6, Man City,27,12,10,5,48:35,13,46
7, Liverpool,27,13,6,8,43:27,16,45
8, Everton,27,11,8,8,40:37,3,41
9, Birmingham ,27,11,7,9,27:29,-2,40
10, Fulham,27,10,7,10,32:29,3,37
11, Stoke City,27,8,11,8,27:30,-3,35
12, Blackburn,27,9,7,11,29:43,-14,34
13, Sunderland,27,7,8,12,36:44,-8,29
14, West Ham,27,6,9,12,36:43,-7,27
15, Wolves ,27,7,6,14,24:45,-21,27
16, Wigan,27,6,7,14,27:54,-27,25
17, Burnley ,27,6,6,15,28:56,-28,24
18, Hull City,27,5,9,13,25:54,-29,24
19, Bolton,27,5,8,14,29:53,-24,23
20, Portsmouth FC,27,4,4,19,22:46,-24,7
