1, Man City,2,2,0,0,6:2,4,6
2, Man Utd,2,2,0,0,5:1,4,6
3, Hull City ,2,2,0,0,4:1,3,6
4, Chelsea,2,2,0,0,4:2,2,6
5, Everton,2,1,1,0,3:2,1,4
6, Middlesbrough ,2,1,1,0,3:2,1,4
7, Spurs,2,1,1,0,2:1,1,4
8, Burnley ,2,1,0,1,2:1,1,3
9, West Ham,2,1,0,1,2:2,0,3
10, West Brom,2,1,0,1,2:2,0,3
11, Liverpool,2,1,0,1,4:5,-1,3
12, Swansea,2,1,0,1,1:2,-1,3
13, Arsenal,2,0,1,1,3:4,-1,1
14, Watford,2,0,1,1,2:3,-1,1
15, Leicester,2,0,1,1,1:2,-1,1
16, Southampton,2,0,1,1,1:3,-2,1
17, Stoke City,2,0,1,1,2:5,-3,1
18, Sunderland,2,0,0,2,2:4,-2,0
19, Crystal Palace,2,0,0,2,0:2,-2,0
20, Bournemouth,2,0,0,2,1:4,-3,0
