1, Chelsea,7,6,0,1,23:2,21,18
2, Man City,7,4,2,1,9:3,6,14
3, Man Utd,7,3,4,0,16:9,7,13
4, Arsenal,7,3,2,2,16:9,7,11
5, Spurs,7,3,2,2,8:6,2,11
6, West Brom,7,3,2,2,9:12,-3,11
7, Stoke City,7,3,1,3,8:9,-1,10
8, Aston Villa,7,3,1,3,9:12,-3,10
9, Blackpool,7,3,1,3,11:15,-4,10
10, Fulham,7,1,6,0,8:7,1,9
11, Sunderland,7,1,5,1,7:7,0,8
12, Bolton,7,1,5,1,10:11,-1,8
13, Blackburn,7,2,2,3,7:8,-1,8
14, Wigan,7,2,2,3,4:13,-9,8
15, Newcastle,7,2,1,4,10:10,0,7
16, Birmingham,7,1,4,2,7:10,-3,7
17, Everton,7,1,3,3,6:7,-1,6
18, Liverpool,7,1,3,3,7:11,-4,6
19, Wolves ,7,1,2,4,7:12,-5,5
20, West Ham,7,1,2,4,5:14,-9,5
