1, Chelsea,6,6,0,0,15:3,12,18
2, Man Utd,6,5,0,1,15:6,9,15
3, Arsenal,6,4,0,2,21:10,11,12
4, Liverpool,6,4,0,2,16:9,7,12
5, Aston Villa,6,4,0,2,9:5,4,12
6, Man City,6,4,0,2,11:8,3,12
7, Spurs,6,4,0,2,12:10,2,12
8, Sunderland,6,3,0,3,9:9,0,9
9, Fulham,6,3,0,3,7:7,0,9
10, Everton,6,3,0,3,9:10,-1,9
11, Burnley ,6,3,0,3,5:10,-5,9
12, Stoke City,6,2,2,2,5:7,-2,8
13, West Ham,6,2,1,3,7:7,0,7
14, Birmingham ,6,2,1,3,3:4,-1,7
15, Wolves ,6,2,1,3,5:8,-3,7
16, Wigan,6,2,0,4,4:12,-8,6
17, Bolton,6,1,1,4,8:12,-4,4
18, Blackburn,6,1,1,4,4:11,-7,4
19, Hull City,6,1,1,4,5:13,-8,4
20, Portsmouth FC,6,0,0,6,3:12,-9,-9
