1, Chelsea,4,4,0,0,10:2,8,12
2, Spurs,4,4,0,0,11:4,7,12
3, Arsenal,4,3,0,1,15:6,9,9
4, Man Utd,4,3,0,1,8:2,6,9
5, Man City,4,3,0,1,4:2,2,9
6, West Ham,4,2,1,1,5:3,2,7
7, Stoke City,4,2,1,1,3:4,-1,7
8, Liverpool,4,2,0,2,9:7,2,6
9, Aston Villa,4,2,0,2,6:5,1,6
10, Fulham,4,2,0,2,4:4,0,6
11, Sunderland,4,2,0,2,4:5,-1,6
12, Everton,4,2,0,2,5:8,-3,6
13, Burnley ,4,2,0,2,2:5,-3,6
14, Birmingham ,4,1,1,2,2:3,-1,4
15, Wolves ,4,1,1,2,2:4,-2,4
16, Hull City,4,1,1,2,4:8,-4,4
17, Wigan,4,1,0,3,3:8,-5,3
18, Blackburn,4,0,1,3,1:7,-6,1
19, Bolton,4,0,0,4,4:9,-5,0
20, Portsmouth FC,4,0,0,4,1:7,-6,-9
