,sb-tor1,sb-tor2,sb-gelb1,sb-gelb2,sb-gelbrot1,sb-gelbrot2,sb-wechsel1,sb-wechsel2,sb-11m1,sb-11m2
1,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0
5,1,0,0,0,0,0,0,0,0,0
6,1,0,0,0,0,0,0,0,0,0
7,1,0,0,0,0,0,0,0,0,0
8,1,0,0,0,0,0,0,0,0,0
9,1,0,0,0,0,0,0,0,0,0
10,1,0,0,0,0,0,0,0,0,0
11,1,0,0,0,0,0,0,0,0,0
12,1,0,0,0,0,0,0,0,0,0
13,1,0,0,0,0,0,0,0,0,0
14,1,0,0,0,0,0,0,0,0,0
15,1,0,0,0,0,0,0,0,0,0
16,1,0,0,1,0,0,0,0,0,0
17,1,0,0,1,0,0,0,0,0,0
18,1,0,0,1,0,0,0,0,0,0
19,1,0,0,1,0,0,0,0,0,0
20,1,0,0,1,0,0,0,0,0,0
21,1,0,0,1,0,0,0,0,0,0
22,1,0,0,1,0,0,0,0,0,0
23,1,0,0,1,0,0,0,0,0,0
24,1,0,0,1,0,0,0,0,0,0
25,1,0,0,1,0,0,0,0,0,0
26,1,0,0,2,0,0,0,0,0,0
27,1,0,0,2,0,0,0,0,0,0
28,1,0,0,2,0,0,0,0,0,0
29,1,0,0,2,0,0,0,0,0,0
30,1,0,0,2,0,0,0,0,0,0
31,1,0,0,2,0,0,0,0,0,0
32,1,1,1,2,0,0,0,0,0,0
33,1,1,1,2,0,0,0,0,0,0
34,1,1,1,2,0,0,0,0,0,0
35,1,1,1,2,0,0,0,0,0,0
36,1,1,1,2,0,0,0,0,0,0
37,1,1,1,2,0,0,0,1,0,0
38,1,1,1,2,0,0,0,1,0,0
39,2,1,1,2,0,0,0,1,0,0
40,2,1,1,2,0,0,0,1,0,0
41,3,1,1,3,0,0,0,1,0,0
42,3,1,1,3,0,0,0,1,0,0
43,3,1,1,3,0,0,0,1,0,0
44,3,1,1,3,0,1,0,1,0,0
45,3,1,1,3,0,1,0,1,0,0
46,3,1,1,3,0,1,0,2,0,0
47,3,1,1,3,0,1,0,2,0,0
48,3,1,1,3,0,1,0,2,0,0
49,3,1,1,3,0,1,0,2,0,0
50,3,1,1,3,0,1,0,2,0,0
51,3,1,1,3,0,1,0,2,0,0
52,4,1,1,3,0,1,0,2,0,0
53,4,1,1,3,0,1,0,2,0,0
54,4,1,1,3,0,1,0,2,0,0
55,5,1,1,3,0,1,0,2,0,0
56,5,1,1,3,0,1,0,2,0,0
57,5,1,1,3,0,1,0,2,0,0
58,5,1,1,3,0,1,0,2,0,0
59,5,1,1,3,0,1,0,2,0,0
60,5,1,1,3,0,1,0,2,0,0
61,5,1,1,3,0,1,0,2,0,0
62,5,1,1,3,0,1,0,2,0,0
63,6,1,1,3,0,1,0,2,0,0
64,6,1,1,3,0,1,0,2,0,0
65,6,1,1,3,0,1,0,2,0,0
66,6,1,1,3,0,1,0,2,0,0
67,6,1,1,3,0,1,0,2,0,0
68,6,1,1,3,0,1,0,2,0,0
69,6,1,1,3,0,1,2,2,0,0
70,6,1,1,3,0,1,2,2,0,0
71,6,1,1,3,0,1,2,2,0,0
72,6,1,1,3,0,1,2,2,0,0
73,6,1,1,3,0,1,3,2,0,0
74,6,1,1,3,0,1,3,2,0,0
75,6,1,1,3,0,1,3,2,0,0
76,6,1,1,3,0,1,3,2,0,0
77,6,1,1,3,0,1,3,2,0,0
78,6,1,1,3,0,1,3,2,0,0
79,6,1,1,3,0,1,3,2,0,0
80,6,1,1,3,0,1,3,2,0,0
81,6,1,1,3,0,1,3,2,0,0
82,6,1,1,3,0,1,3,2,0,0
83,6,1,1,3,0,1,3,2,0,0
84,6,1,1,3,0,1,3,2,0,0
85,6,1,1,3,0,1,3,2,0,0
86,6,1,2,3,0,1,3,2,0,0
87,6,1,2,3,0,1,3,2,0,0
88,6,1,2,3,0,1,3,2,0,0
89,6,1,2,3,0,1,3,2,0,0
90,6,1,2,3,0,1,3,2,0,0
