,sb-tor1,sb-tor2,sb-gelb1,sb-gelb2,sb-gelbrot1,sb-gelbrot2,sb-wechsel1,sb-wechsel2,sb-11m1,sb-11m2
1,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0
11,0,1,0,0,0,0,0,0,0,0
12,0,1,0,0,0,0,0,0,0,0
13,0,1,0,0,0,0,0,0,0,0
14,0,1,0,0,0,0,0,0,0,0
15,1,1,0,0,0,0,0,0,0,0
16,1,1,0,0,0,0,0,0,0,0
17,1,1,0,0,0,0,0,0,0,0
18,2,1,0,0,0,0,0,0,0,0
19,2,1,0,0,0,0,0,0,0,0
20,2,1,0,0,0,0,0,0,0,0
21,2,1,0,0,0,0,0,0,0,0
22,2,1,0,0,0,0,0,0,0,0
23,2,1,0,0,0,0,0,0,0,0
24,2,1,0,0,0,0,0,0,0,0
25,2,1,0,0,0,0,0,0,0,0
26,2,1,0,0,0,0,0,0,0,0
27,2,1,0,0,0,0,0,0,0,0
28,2,1,0,0,0,0,0,0,0,0
29,2,1,0,0,0,0,0,0,0,0
30,2,1,0,0,0,0,0,0,0,0
31,2,1,0,0,0,0,0,0,0,0
32,2,1,0,0,0,0,0,0,0,0
33,2,1,0,0,0,0,0,0,0,0
34,2,1,0,0,0,0,0,0,0,0
35,2,1,0,0,0,0,0,0,0,0
36,2,1,0,0,0,0,0,0,0,0
37,2,1,0,0,0,0,0,0,0,0
38,2,1,0,0,0,0,0,0,0,0
39,2,1,1,0,0,0,0,0,0,0
40,2,1,1,0,0,0,0,0,0,0
41,2,1,1,0,0,0,0,0,0,0
42,3,1,1,0,0,0,0,0,0,0
43,3,1,1,0,0,0,0,0,0,0
44,3,1,1,0,0,0,0,0,0,0
45,3,1,1,0,0,0,0,0,0,0
46,3,1,1,0,0,0,0,0,0,0
47,3,1,1,0,0,0,0,1,0,0
48,4,1,1,0,0,0,0,1,0,0
49,4,1,1,0,0,0,0,1,0,0
50,4,1,1,0,0,0,0,1,0,0
51,4,1,1,0,0,0,0,1,0,0
52,4,1,1,0,0,0,0,1,0,0
53,4,1,1,0,0,0,0,1,0,0
54,4,1,1,0,0,0,0,1,0,0
55,4,1,1,0,0,0,0,1,0,0
56,4,1,1,0,0,0,0,1,0,0
57,4,1,1,0,0,0,0,1,0,0
58,4,1,1,0,0,0,0,1,0,0
59,4,1,1,0,0,0,0,1,0,0
60,4,1,1,0,0,0,0,1,0,0
61,4,1,1,0,0,0,0,1,0,0
62,4,1,1,0,0,0,0,1,0,0
63,4,1,1,0,0,0,0,1,0,0
64,4,1,1,0,0,0,0,1,0,0
65,4,1,1,0,0,0,0,1,0,0
66,4,1,1,0,0,0,0,1,0,0
67,4,1,1,0,0,0,0,1,0,0
68,4,1,1,0,0,0,1,1,0,0
69,4,1,1,0,0,0,1,1,0,0
70,4,1,1,0,0,0,1,1,0,0
71,4,1,1,0,0,0,1,3,0,0
72,4,1,1,0,0,0,1,3,0,0
73,4,1,1,0,0,0,1,3,0,0
74,4,1,1,0,0,0,1,3,0,0
75,4,1,1,0,0,0,1,3,0,0
76,4,1,1,0,0,0,2,3,0,0
77,4,1,1,0,0,0,2,3,0,0
78,4,1,1,0,0,0,2,3,0,0
79,4,1,1,0,0,0,2,3,0,0
80,4,1,1,0,0,0,2,3,0,0
81,4,1,1,0,0,0,2,3,0,0
82,4,1,1,1,0,0,2,3,0,0
83,4,1,1,1,0,0,2,3,0,0
84,4,1,1,1,0,0,2,3,0,0
85,4,1,1,1,0,0,2,3,0,0
86,4,1,1,1,0,0,2,3,0,0
87,4,1,1,1,0,0,3,3,0,0
88,4,1,1,1,0,0,3,3,0,0
89,4,1,1,1,0,0,3,3,0,0
90,4,1,1,1,0,0,3,3,0,0
