"","nome.y","nome.x","X.1.x","time2","time1","X.x","sb.tor1","sb.tor2","sb.gelb1","sb.gelb2","sb.gelbrot1","sb.gelbrot2","sb.wechsel1","sb.wechsel2","sb.11m1","sb.11m2","vencedor","X.3.x","X.2.x","X.1.y","X.y","position_1","games_1","wins_1","draws_1","losses_1","goals_1","saldo_1","points_1","X.3.y","X.2.y","minuto","X","position_2","games_2","wins_2","draws_2","losses_2","goals_2","saldo_2","points_2"
"26","Middlesbrough","WestHam",26,641,379,26,0,0,1,0,0,0,1,0,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"27","Middlesbrough","WestHam",27,641,379,27,0,0,1,0,0,0,1,0,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"28","Middlesbrough","WestHam",28,641,379,28,0,0,1,0,0,0,1,0,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"29","Middlesbrough","WestHam",29,641,379,29,0,0,1,0,0,0,1,0,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"30","Middlesbrough","WestHam",30,641,379,30,0,0,1,0,0,0,1,0,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"31","Middlesbrough","WestHam",31,641,379,31,0,0,1,0,0,0,1,0,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"32","Middlesbrough","WestHam",32,641,379,32,0,0,1,0,0,0,1,0,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"33","Middlesbrough","WestHam",33,641,379,33,0,0,1,0,0,0,1,0,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"34","Middlesbrough","WestHam",34,641,379,34,0,0,1,0,0,0,1,0,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"35","Middlesbrough","WestHam",35,641,379,35,0,0,1,0,0,0,1,0,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"36","Middlesbrough","WestHam",36,641,379,36,0,0,1,0,0,0,1,0,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"37","Middlesbrough","WestHam",37,641,379,37,0,0,1,0,0,0,1,0,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"38","Middlesbrough","WestHam",38,641,379,38,0,0,1,0,0,0,1,0,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"39","Middlesbrough","WestHam",39,641,379,39,0,0,1,0,0,0,1,0,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"40","Middlesbrough","WestHam",40,641,379,40,0,0,1,0,0,0,1,0,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
