"","nome.y","nome.x","minuto","time2","time1","X.x","sb.tor1","sb.tor2","sb.gelb1","sb.gelb2","sb.gelbrot1","sb.gelbrot2","sb.wechsel1","sb.wechsel2","sb.11m1","sb.11m2","vencedor","X.y","position_1","games_1","wins_1","draws_1","losses_1","goals_1","saldo_1","points_1","X","position_2","games_2","wins_2","draws_2","losses_2","goals_2","saldo_2","points_2"
"1","AstonVilla","Chelsea",1,405,631,1,0,0,0,0,0,0,0,0,0,0,"HOME",1,1,5,4,1,0,16,9,13,3,3,5,3,1,1,4,0,10
"2","AstonVilla","Chelsea",2,405,631,2,0,0,0,0,0,0,0,0,0,0,"HOME",1,1,5,4,1,0,16,9,13,3,3,5,3,1,1,4,0,10
"3","AstonVilla","Chelsea",3,405,631,3,0,0,0,0,0,0,0,0,0,0,"HOME",1,1,5,4,1,0,16,9,13,3,3,5,3,1,1,4,0,10
"4","AstonVilla","Chelsea",4,405,631,4,0,0,0,0,0,0,0,0,0,0,"HOME",1,1,5,4,1,0,16,9,13,3,3,5,3,1,1,4,0,10
"5","AstonVilla","Chelsea",5,405,631,5,0,0,0,0,0,0,0,0,0,0,"HOME",1,1,5,4,1,0,16,9,13,3,3,5,3,1,1,4,0,10
"6","AstonVilla","Chelsea",6,405,631,6,0,0,0,0,0,0,0,0,0,0,"HOME",1,1,5,4,1,0,16,9,13,3,3,5,3,1,1,4,0,10
"7","AstonVilla","Chelsea",7,405,631,7,0,0,0,0,0,0,0,0,0,0,"HOME",1,1,5,4,1,0,16,9,13,3,3,5,3,1,1,4,0,10
"8","AstonVilla","Chelsea",8,405,631,8,1,0,0,0,0,0,0,0,0,0,"HOME",1,1,5,4,1,0,16,9,13,3,3,5,3,1,1,4,0,10
"9","AstonVilla","Chelsea",9,405,631,9,1,0,0,0,0,0,0,0,0,0,"HOME",1,1,5,4,1,0,16,9,13,3,3,5,3,1,1,4,0,10
"10","AstonVilla","Chelsea",10,405,631,10,1,0,0,0,0,0,0,0,0,0,"HOME",1,1,5,4,1,0,16,9,13,3,3,5,3,1,1,4,0,10
"11","AstonVilla","Chelsea",11,405,631,11,1,0,0,0,0,0,0,0,0,0,"HOME",1,1,5,4,1,0,16,9,13,3,3,5,3,1,1,4,0,10
"12","AstonVilla","Chelsea",12,405,631,12,1,0,0,0,0,0,0,0,0,0,"HOME",1,1,5,4,1,0,16,9,13,3,3,5,3,1,1,4,0,10
"13","AstonVilla","Chelsea",13,405,631,13,1,0,0,0,0,0,0,0,0,0,"HOME",1,1,5,4,1,0,16,9,13,3,3,5,3,1,1,4,0,10
"14","AstonVilla","Chelsea",14,405,631,14,1,0,0,0,0,0,0,0,0,0,"HOME",1,1,5,4,1,0,16,9,13,3,3,5,3,1,1,4,0,10
"15","AstonVilla","Chelsea",15,405,631,15,1,0,0,0,0,0,0,0,0,0,"HOME",1,1,5,4,1,0,16,9,13,3,3,5,3,1,1,4,0,10
"16","AstonVilla","Chelsea",16,405,631,16,1,0,0,0,0,0,0,0,0,0,"HOME",1,1,5,4,1,0,16,9,13,3,3,5,3,1,1,4,0,10
"17","AstonVilla","Chelsea",17,405,631,17,1,0,0,0,0,0,0,0,0,0,"HOME",1,1,5,4,1,0,16,9,13,3,3,5,3,1,1,4,0,10
"18","AstonVilla","Chelsea",18,405,631,18,1,0,0,0,0,0,0,0,0,0,"HOME",1,1,5,4,1,0,16,9,13,3,3,5,3,1,1,4,0,10
"19","AstonVilla","Chelsea",19,405,631,19,1,0,0,0,0,0,0,0,0,0,"HOME",1,1,5,4,1,0,16,9,13,3,3,5,3,1,1,4,0,10
"20","AstonVilla","Chelsea",20,405,631,20,1,0,0,0,0,0,0,0,0,0,"HOME",1,1,5,4,1,0,16,9,13,3,3,5,3,1,1,4,0,10
"21","AstonVilla","Chelsea",21,405,631,21,1,0,0,0,0,0,0,0,0,0,"HOME",1,1,5,4,1,0,16,9,13,3,3,5,3,1,1,4,0,10
"22","AstonVilla","Chelsea",22,405,631,22,1,0,0,0,0,0,0,0,0,0,"HOME",1,1,5,4,1,0,16,9,13,3,3,5,3,1,1,4,0,10
"23","AstonVilla","Chelsea",23,405,631,23,1,0,0,0,0,0,0,0,0,0,"HOME",1,1,5,4,1,0,16,9,13,3,3,5,3,1,1,4,0,10
"24","AstonVilla","Chelsea",24,405,631,24,1,0,0,0,0,0,0,0,0,0,"HOME",1,1,5,4,1,0,16,9,13,3,3,5,3,1,1,4,0,10
"25","AstonVilla","Chelsea",25,405,631,25,1,0,0,0,0,0,0,0,0,0,"HOME",1,1,5,4,1,0,16,9,13,3,3,5,3,1,1,4,0,10
"26","AstonVilla","Chelsea",26,405,631,26,1,0,0,0,0,0,0,0,0,0,"HOME",1,1,5,4,1,0,16,9,13,3,3,5,3,1,1,4,0,10
"27","AstonVilla","Chelsea",27,405,631,27,1,0,1,0,0,0,0,0,0,0,"HOME",1,1,5,4,1,0,16,9,13,3,3,5,3,1,1,4,0,10
"28","AstonVilla","Chelsea",28,405,631,28,1,0,1,0,0,0,0,0,0,0,"HOME",1,1,5,4,1,0,16,9,13,3,3,5,3,1,1,4,0,10
"29","AstonVilla","Chelsea",29,405,631,29,1,0,1,0,0,0,0,0,0,0,"HOME",1,1,5,4,1,0,16,9,13,3,3,5,3,1,1,4,0,10
"30","AstonVilla","Chelsea",30,405,631,30,1,0,1,0,0,0,0,0,0,0,"HOME",1,1,5,4,1,0,16,9,13,3,3,5,3,1,1,4,0,10
"31","AstonVilla","Chelsea",31,405,631,31,1,0,1,0,0,0,0,0,0,0,"HOME",1,1,5,4,1,0,16,9,13,3,3,5,3,1,1,4,0,10
"32","AstonVilla","Chelsea",32,405,631,32,1,0,1,0,0,0,0,0,0,0,"HOME",1,1,5,4,1,0,16,9,13,3,3,5,3,1,1,4,0,10
