"","nome.y","nome.x","X.1.x","time2","time1","X.x","sb.tor1","sb.tor2","sb.gelb1","sb.gelb2","sb.gelbrot1","sb.gelbrot2","sb.wechsel1","sb.wechsel2","sb.11m1","sb.11m2","vencedor","X.3.x","X.2.x","X.1.y","X.y","position_1","games_1","wins_1","draws_1","losses_1","goals_1","saldo_1","points_1","X.3.y","X.2.y","minuto","X","position_2","games_2","wins_2","draws_2","losses_2","goals_2","saldo_2","points_2"
"1","Southampton","Leicester",1,180,1003,1,0,0,0,0,0,0,0,0,0,0,"TIE",15,15,15,15,15,6,2,1,3,4,-5,7,9,9,9,9,9,6,2,2,2,7,1,8
"2","Southampton","Leicester",2,180,1003,2,0,0,0,0,0,0,0,0,0,0,"TIE",15,15,15,15,15,6,2,1,3,4,-5,7,9,9,9,9,9,6,2,2,2,7,1,8
"3","Southampton","Leicester",3,180,1003,3,0,0,0,0,0,0,0,0,0,0,"TIE",15,15,15,15,15,6,2,1,3,4,-5,7,9,9,9,9,9,6,2,2,2,7,1,8
"4","Southampton","Leicester",4,180,1003,4,0,0,0,0,0,0,0,0,0,0,"TIE",15,15,15,15,15,6,2,1,3,4,-5,7,9,9,9,9,9,6,2,2,2,7,1,8
"5","Southampton","Leicester",5,180,1003,5,0,0,0,0,0,0,0,0,0,0,"TIE",15,15,15,15,15,6,2,1,3,4,-5,7,9,9,9,9,9,6,2,2,2,7,1,8
"6","Southampton","Leicester",6,180,1003,6,0,0,0,0,0,0,0,0,0,0,"TIE",15,15,15,15,15,6,2,1,3,4,-5,7,9,9,9,9,9,6,2,2,2,7,1,8
"7","Southampton","Leicester",7,180,1003,7,0,0,0,0,0,0,0,0,0,0,"TIE",15,15,15,15,15,6,2,1,3,4,-5,7,9,9,9,9,9,6,2,2,2,7,1,8
"8","Southampton","Leicester",8,180,1003,8,0,0,0,0,0,0,0,0,0,0,"TIE",15,15,15,15,15,6,2,1,3,4,-5,7,9,9,9,9,9,6,2,2,2,7,1,8
"9","Southampton","Leicester",9,180,1003,9,0,0,0,0,0,0,0,0,0,0,"TIE",15,15,15,15,15,6,2,1,3,4,-5,7,9,9,9,9,9,6,2,2,2,7,1,8
"10","Southampton","Leicester",10,180,1003,10,0,0,0,0,0,0,0,0,0,0,"TIE",15,15,15,15,15,6,2,1,3,4,-5,7,9,9,9,9,9,6,2,2,2,7,1,8
"11","Southampton","Leicester",11,180,1003,11,0,0,0,0,0,0,0,0,0,0,"TIE",15,15,15,15,15,6,2,1,3,4,-5,7,9,9,9,9,9,6,2,2,2,7,1,8
"12","Southampton","Leicester",12,180,1003,12,0,0,0,0,0,0,0,0,0,0,"TIE",15,15,15,15,15,6,2,1,3,4,-5,7,9,9,9,9,9,6,2,2,2,7,1,8
"13","Southampton","Leicester",13,180,1003,13,0,0,0,0,0,0,0,0,0,0,"TIE",15,15,15,15,15,6,2,1,3,4,-5,7,9,9,9,9,9,6,2,2,2,7,1,8
