"","nome.y","nome.x","X.1.x","time2","time1","X.x","sb.tor1","sb.tor2","sb.gelb1","sb.gelb2","sb.gelbrot1","sb.gelbrot2","sb.wechsel1","sb.wechsel2","sb.11m1","sb.11m2","vencedor","X.2.x","X.1.y","X.y","position_1","games_1","wins_1","draws_1","losses_1","goals_1","saldo_1","points_1","X.2.y","minuto","X","position_2","games_2","wins_2","draws_2","losses_2","goals_2","saldo_2","points_2"
"33","Burnley","WestBrom",33,1132,984,33,2,0,0,0,0,0,0,0,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"34","Burnley","WestBrom",34,1132,984,34,2,0,0,0,0,0,0,0,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"35","Burnley","WestBrom",35,1132,984,35,2,0,0,0,0,0,0,0,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"36","Burnley","WestBrom",36,1132,984,36,2,0,0,0,0,0,0,0,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"37","Burnley","WestBrom",37,1132,984,37,2,0,0,0,0,0,0,0,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"38","Burnley","WestBrom",38,1132,984,38,3,0,0,0,0,0,0,0,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"39","Burnley","WestBrom",39,1132,984,39,3,0,0,0,0,0,0,0,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"40","Burnley","WestBrom",40,1132,984,40,3,0,0,0,0,0,0,0,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"41","Burnley","WestBrom",41,1132,984,41,3,0,0,0,0,0,0,0,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"42","Burnley","WestBrom",42,1132,984,42,3,0,0,0,0,0,0,0,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"43","Burnley","WestBrom",43,1132,984,43,3,0,0,0,0,0,0,0,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"44","Burnley","WestBrom",44,1132,984,44,3,0,0,0,0,0,0,0,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"45","Burnley","WestBrom",45,1132,984,45,3,0,0,0,0,0,0,0,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"46","Burnley","WestBrom",46,1132,984,46,3,0,0,0,0,0,0,0,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"47","Burnley","WestBrom",47,1132,984,47,3,0,0,0,0,0,0,1,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"48","Burnley","WestBrom",48,1132,984,48,3,0,0,0,0,0,0,1,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"49","Burnley","WestBrom",49,1132,984,49,3,0,0,0,0,0,0,1,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"50","Burnley","WestBrom",50,1132,984,50,3,0,0,0,0,0,0,1,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"51","Burnley","WestBrom",51,1132,984,51,3,0,0,0,0,0,0,1,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"52","Burnley","WestBrom",52,1132,984,52,3,0,0,0,0,0,0,1,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"53","Burnley","WestBrom",53,1132,984,53,3,0,0,0,0,0,0,1,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"54","Burnley","WestBrom",54,1132,984,54,3,0,0,0,0,0,0,1,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"55","Burnley","WestBrom",55,1132,984,55,3,0,0,0,0,0,0,1,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"56","Burnley","WestBrom",56,1132,984,56,3,0,0,0,0,0,0,1,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"57","Burnley","WestBrom",57,1132,984,57,3,0,0,0,0,0,0,1,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
