"","nome.y","nome.x","minuto","time2","time1","X.x","sb.tor1","sb.tor2","sb.gelb1","sb.gelb2","sb.gelbrot1","sb.gelbrot2","sb.wechsel1","sb.wechsel2","sb.11m1","sb.11m2","vencedor","X.y","position_1","games_1","wins_1","draws_1","losses_1","goals_1","saldo_1","points_1","X","position_2","games_2","wins_2","draws_2","losses_2","goals_2","saldo_2","points_2"
"1","ManUtd","Chelsea",1,985,631,1,0,0,0,0,0,0,0,0,0,0,"TIE",6,6,37,17,10,10,63,18,61,2,2,37,27,5,5,88,55,86
"2","ManUtd","Chelsea",2,985,631,2,0,0,0,0,0,0,0,0,0,0,"TIE",6,6,37,17,10,10,63,18,61,2,2,37,27,5,5,88,55,86
"3","ManUtd","Chelsea",3,985,631,3,0,0,0,0,0,0,0,0,0,0,"TIE",6,6,37,17,10,10,63,18,61,2,2,37,27,5,5,88,55,86
"4","ManUtd","Chelsea",4,985,631,4,0,0,0,0,0,0,0,0,0,0,"TIE",6,6,37,17,10,10,63,18,61,2,2,37,27,5,5,88,55,86
"5","ManUtd","Chelsea",5,985,631,5,0,0,0,0,0,0,0,0,0,0,"TIE",6,6,37,17,10,10,63,18,61,2,2,37,27,5,5,88,55,86
"6","ManUtd","Chelsea",6,985,631,6,0,0,0,0,0,0,0,0,0,0,"TIE",6,6,37,17,10,10,63,18,61,2,2,37,27,5,5,88,55,86
"7","ManUtd","Chelsea",7,985,631,7,0,0,0,0,0,0,0,0,0,0,"TIE",6,6,37,17,10,10,63,18,61,2,2,37,27,5,5,88,55,86
"8","ManUtd","Chelsea",8,985,631,8,0,0,0,0,0,0,0,0,0,0,"TIE",6,6,37,17,10,10,63,18,61,2,2,37,27,5,5,88,55,86
"9","ManUtd","Chelsea",9,985,631,9,0,0,0,0,0,0,0,0,0,0,"TIE",6,6,37,17,10,10,63,18,61,2,2,37,27,5,5,88,55,86
"10","ManUtd","Chelsea",10,985,631,10,0,0,0,0,0,0,0,0,0,0,"TIE",6,6,37,17,10,10,63,18,61,2,2,37,27,5,5,88,55,86
"11","ManUtd","Chelsea",11,985,631,11,0,0,0,0,0,0,0,0,0,0,"TIE",6,6,37,17,10,10,63,18,61,2,2,37,27,5,5,88,55,86
"12","ManUtd","Chelsea",12,985,631,12,0,0,0,0,0,0,0,0,0,0,"TIE",6,6,37,17,10,10,63,18,61,2,2,37,27,5,5,88,55,86
"13","ManUtd","Chelsea",13,985,631,13,0,0,0,0,0,0,0,0,0,0,"TIE",6,6,37,17,10,10,63,18,61,2,2,37,27,5,5,88,55,86
"14","ManUtd","Chelsea",14,985,631,14,0,0,0,0,0,0,0,0,0,0,"TIE",6,6,37,17,10,10,63,18,61,2,2,37,27,5,5,88,55,86
"15","ManUtd","Chelsea",15,985,631,15,0,0,0,0,0,0,0,0,0,0,"TIE",6,6,37,17,10,10,63,18,61,2,2,37,27,5,5,88,55,86
"16","ManUtd","Chelsea",16,985,631,16,0,0,0,0,0,0,0,0,0,0,"TIE",6,6,37,17,10,10,63,18,61,2,2,37,27,5,5,88,55,86
"17","ManUtd","Chelsea",17,985,631,17,0,0,0,0,0,0,0,0,0,0,"TIE",6,6,37,17,10,10,63,18,61,2,2,37,27,5,5,88,55,86
"18","ManUtd","Chelsea",18,985,631,18,0,0,0,0,0,0,0,0,0,0,"TIE",6,6,37,17,10,10,63,18,61,2,2,37,27,5,5,88,55,86
"19","ManUtd","Chelsea",19,985,631,19,0,0,0,0,0,0,0,0,0,0,"TIE",6,6,37,17,10,10,63,18,61,2,2,37,27,5,5,88,55,86
"20","ManUtd","Chelsea",20,985,631,20,0,0,0,0,0,0,0,0,0,0,"TIE",6,6,37,17,10,10,63,18,61,2,2,37,27,5,5,88,55,86
"21","ManUtd","Chelsea",21,985,631,21,0,0,0,0,0,0,0,0,0,0,"TIE",6,6,37,17,10,10,63,18,61,2,2,37,27,5,5,88,55,86
"22","ManUtd","Chelsea",22,985,631,22,0,0,0,0,0,0,0,0,0,0,"TIE",6,6,37,17,10,10,63,18,61,2,2,37,27,5,5,88,55,86
"23","ManUtd","Chelsea",23,985,631,23,0,0,0,0,0,0,0,0,0,0,"TIE",6,6,37,17,10,10,63,18,61,2,2,37,27,5,5,88,55,86
"24","ManUtd","Chelsea",24,985,631,24,0,0,0,0,0,0,0,0,0,0,"TIE",6,6,37,17,10,10,63,18,61,2,2,37,27,5,5,88,55,86
"25","ManUtd","Chelsea",25,985,631,25,0,0,0,0,0,0,0,0,0,0,"TIE",6,6,37,17,10,10,63,18,61,2,2,37,27,5,5,88,55,86
"26","ManUtd","Chelsea",26,985,631,26,0,0,0,0,0,0,0,0,0,0,"TIE",6,6,37,17,10,10,63,18,61,2,2,37,27,5,5,88,55,86
"27","ManUtd","Chelsea",27,985,631,27,0,0,0,0,0,0,0,0,0,0,"TIE",6,6,37,17,10,10,63,18,61,2,2,37,27,5,5,88,55,86
