"","nome.y","nome.x","X.1.x","time2","time1","X.x","sb.tor1","sb.tor2","sb.gelb1","sb.gelb2","sb.gelbrot1","sb.gelbrot2","sb.wechsel1","sb.wechsel2","sb.11m1","sb.11m2","vencedor","X.3.x","X.2.x","X.1.y","X.y","position_1","games_1","wins_1","draws_1","losses_1","goals_1","saldo_1","points_1","X.3.y","X.2.y","minuto","X","position_2","games_2","wins_2","draws_2","losses_2","goals_2","saldo_2","points_2"
"1","Watford","Burnley",1,1010,1132,1,0,0,0,0,0,0,0,0,0,0,"HOME",13,13,13,13,13,6,2,1,3,5,-3,7,11,11,11,11,11,6,2,1,3,10,-1,7
"2","Watford","Burnley",2,1010,1132,2,0,0,0,0,0,0,0,0,0,0,"HOME",13,13,13,13,13,6,2,1,3,5,-3,7,11,11,11,11,11,6,2,1,3,10,-1,7
"3","Watford","Burnley",3,1010,1132,3,0,0,0,0,0,0,0,0,0,0,"HOME",13,13,13,13,13,6,2,1,3,5,-3,7,11,11,11,11,11,6,2,1,3,10,-1,7
"4","Watford","Burnley",4,1010,1132,4,0,0,0,0,0,0,0,0,0,0,"HOME",13,13,13,13,13,6,2,1,3,5,-3,7,11,11,11,11,11,6,2,1,3,10,-1,7
"5","Watford","Burnley",5,1010,1132,5,0,0,0,0,0,0,0,0,0,0,"HOME",13,13,13,13,13,6,2,1,3,5,-3,7,11,11,11,11,11,6,2,1,3,10,-1,7
"6","Watford","Burnley",6,1010,1132,6,0,0,0,0,0,0,0,0,0,0,"HOME",13,13,13,13,13,6,2,1,3,5,-3,7,11,11,11,11,11,6,2,1,3,10,-1,7
"7","Watford","Burnley",7,1010,1132,7,0,0,0,0,0,0,0,0,0,0,"HOME",13,13,13,13,13,6,2,1,3,5,-3,7,11,11,11,11,11,6,2,1,3,10,-1,7
"8","Watford","Burnley",8,1010,1132,8,0,0,0,0,0,0,0,0,0,0,"HOME",13,13,13,13,13,6,2,1,3,5,-3,7,11,11,11,11,11,6,2,1,3,10,-1,7
"9","Watford","Burnley",9,1010,1132,9,0,0,0,0,0,0,0,0,0,0,"HOME",13,13,13,13,13,6,2,1,3,5,-3,7,11,11,11,11,11,6,2,1,3,10,-1,7
"10","Watford","Burnley",10,1010,1132,10,0,0,0,0,0,0,0,0,0,0,"HOME",13,13,13,13,13,6,2,1,3,5,-3,7,11,11,11,11,11,6,2,1,3,10,-1,7
"11","Watford","Burnley",11,1010,1132,11,0,0,0,0,0,0,0,0,0,0,"HOME",13,13,13,13,13,6,2,1,3,5,-3,7,11,11,11,11,11,6,2,1,3,10,-1,7
"12","Watford","Burnley",12,1010,1132,12,0,0,0,0,0,0,0,0,0,0,"HOME",13,13,13,13,13,6,2,1,3,5,-3,7,11,11,11,11,11,6,2,1,3,10,-1,7
"13","Watford","Burnley",13,1010,1132,13,0,0,0,0,0,0,0,0,0,0,"HOME",13,13,13,13,13,6,2,1,3,5,-3,7,11,11,11,11,11,6,2,1,3,10,-1,7
"14","Watford","Burnley",14,1010,1132,14,0,0,0,0,0,0,0,0,0,0,"HOME",13,13,13,13,13,6,2,1,3,5,-3,7,11,11,11,11,11,6,2,1,3,10,-1,7
"15","Watford","Burnley",15,1010,1132,15,0,0,0,0,0,0,0,0,0,0,"HOME",13,13,13,13,13,6,2,1,3,5,-3,7,11,11,11,11,11,6,2,1,3,10,-1,7
