"","nome.y","nome.x","minuto","time2","time1","X.x","sb.tor1","sb.tor2","sb.gelb1","sb.gelb2","sb.gelbrot1","sb.gelbrot2","sb.wechsel1","sb.wechsel2","sb.11m1","sb.11m2","vencedor","X.y","position_1","games_1","wins_1","draws_1","losses_1","goals_1","saldo_1","points_1","X","position_2","games_2","wins_2","draws_2","losses_2","goals_2","saldo_2","points_2"
"1","Blackburn","Everton",1,164,29,1,0,0,0,0,0,0,0,0,0,0,"HOME",12,12,5,2,0,3,6,-4,6,16,16,5,1,1,3,4,-4,4
"2","Blackburn","Everton",2,164,29,2,0,0,0,0,0,0,0,0,0,0,"HOME",12,12,5,2,0,3,6,-4,6,16,16,5,1,1,3,4,-4,4
"3","Blackburn","Everton",3,164,29,3,0,0,0,0,0,0,0,0,0,0,"HOME",12,12,5,2,0,3,6,-4,6,16,16,5,1,1,3,4,-4,4
"4","Blackburn","Everton",4,164,29,4,0,0,0,0,0,0,0,0,0,0,"HOME",12,12,5,2,0,3,6,-4,6,16,16,5,1,1,3,4,-4,4
"5","Blackburn","Everton",5,164,29,5,0,0,0,0,0,0,0,0,0,0,"HOME",12,12,5,2,0,3,6,-4,6,16,16,5,1,1,3,4,-4,4
"6","Blackburn","Everton",6,164,29,6,0,0,0,0,0,0,0,0,0,0,"HOME",12,12,5,2,0,3,6,-4,6,16,16,5,1,1,3,4,-4,4
"7","Blackburn","Everton",7,164,29,7,0,0,0,0,0,0,0,0,0,0,"HOME",12,12,5,2,0,3,6,-4,6,16,16,5,1,1,3,4,-4,4
"8","Blackburn","Everton",8,164,29,8,0,0,0,0,0,0,0,0,0,0,"HOME",12,12,5,2,0,3,6,-4,6,16,16,5,1,1,3,4,-4,4
"9","Blackburn","Everton",9,164,29,9,0,0,0,0,0,0,0,0,0,0,"HOME",12,12,5,2,0,3,6,-4,6,16,16,5,1,1,3,4,-4,4
"10","Blackburn","Everton",10,164,29,10,0,0,0,0,0,0,0,0,0,0,"HOME",12,12,5,2,0,3,6,-4,6,16,16,5,1,1,3,4,-4,4
"11","Blackburn","Everton",11,164,29,11,0,0,0,0,0,0,0,0,0,0,"HOME",12,12,5,2,0,3,6,-4,6,16,16,5,1,1,3,4,-4,4
"12","Blackburn","Everton",12,164,29,12,0,0,0,0,0,0,0,0,0,0,"HOME",12,12,5,2,0,3,6,-4,6,16,16,5,1,1,3,4,-4,4
"13","Blackburn","Everton",13,164,29,13,0,0,0,0,0,0,0,0,0,0,"HOME",12,12,5,2,0,3,6,-4,6,16,16,5,1,1,3,4,-4,4
"14","Blackburn","Everton",14,164,29,14,0,0,0,0,0,0,0,0,0,0,"HOME",12,12,5,2,0,3,6,-4,6,16,16,5,1,1,3,4,-4,4
"15","Blackburn","Everton",15,164,29,15,0,0,0,0,0,0,0,0,0,0,"HOME",12,12,5,2,0,3,6,-4,6,16,16,5,1,1,3,4,-4,4
"16","Blackburn","Everton",16,164,29,16,0,0,0,0,0,0,0,0,0,0,"HOME",12,12,5,2,0,3,6,-4,6,16,16,5,1,1,3,4,-4,4
"17","Blackburn","Everton",17,164,29,17,0,0,0,0,0,0,0,0,0,0,"HOME",12,12,5,2,0,3,6,-4,6,16,16,5,1,1,3,4,-4,4
"18","Blackburn","Everton",18,164,29,18,0,0,0,0,0,0,0,0,0,0,"HOME",12,12,5,2,0,3,6,-4,6,16,16,5,1,1,3,4,-4,4
"19","Blackburn","Everton",19,164,29,19,0,0,1,0,0,0,0,0,0,0,"HOME",12,12,5,2,0,3,6,-4,6,16,16,5,1,1,3,4,-4,4
"20","Blackburn","Everton",20,164,29,20,0,0,1,0,0,0,0,0,0,0,"HOME",12,12,5,2,0,3,6,-4,6,16,16,5,1,1,3,4,-4,4
"21","Blackburn","Everton",21,164,29,21,0,0,1,0,0,0,0,0,0,0,"HOME",12,12,5,2,0,3,6,-4,6,16,16,5,1,1,3,4,-4,4
"22","Blackburn","Everton",22,164,29,22,0,0,1,0,0,0,0,0,0,0,"HOME",12,12,5,2,0,3,6,-4,6,16,16,5,1,1,3,4,-4,4
"23","Blackburn","Everton",23,164,29,23,1,0,1,0,0,0,0,0,0,0,"HOME",12,12,5,2,0,3,6,-4,6,16,16,5,1,1,3,4,-4,4
"24","Blackburn","Everton",24,164,29,24,1,0,1,0,0,0,0,0,0,0,"HOME",12,12,5,2,0,3,6,-4,6,16,16,5,1,1,3,4,-4,4
"25","Blackburn","Everton",25,164,29,25,1,0,1,0,0,0,0,0,0,0,"HOME",12,12,5,2,0,3,6,-4,6,16,16,5,1,1,3,4,-4,4
"26","Blackburn","Everton",26,164,29,26,1,0,1,0,0,0,0,0,0,0,"HOME",12,12,5,2,0,3,6,-4,6,16,16,5,1,1,3,4,-4,4
"27","Blackburn","Everton",27,164,29,27,1,0,1,0,0,0,0,0,0,0,"HOME",12,12,5,2,0,3,6,-4,6,16,16,5,1,1,3,4,-4,4
"28","Blackburn","Everton",28,164,29,28,1,0,1,0,0,0,0,0,0,0,"HOME",12,12,5,2,0,3,6,-4,6,16,16,5,1,1,3,4,-4,4
"29","Blackburn","Everton",29,164,29,29,1,0,1,0,0,0,0,0,0,0,"HOME",12,12,5,2,0,3,6,-4,6,16,16,5,1,1,3,4,-4,4
"30","Blackburn","Everton",30,164,29,30,1,0,1,0,0,0,0,0,0,0,"HOME",12,12,5,2,0,3,6,-4,6,16,16,5,1,1,3,4,-4,4
"31","Blackburn","Everton",31,164,29,31,1,0,1,0,0,0,0,0,0,0,"HOME",12,12,5,2,0,3,6,-4,6,16,16,5,1,1,3,4,-4,4
"32","Blackburn","Everton",32,164,29,32,1,0,1,0,0,0,0,0,0,0,"HOME",12,12,5,2,0,3,6,-4,6,16,16,5,1,1,3,4,-4,4
"33","Blackburn","Everton",33,164,29,33,1,0,1,0,0,0,0,0,0,0,"HOME",12,12,5,2,0,3,6,-4,6,16,16,5,1,1,3,4,-4,4
"34","Blackburn","Everton",34,164,29,34,1,0,1,0,0,0,0,0,0,0,"HOME",12,12,5,2,0,3,6,-4,6,16,16,5,1,1,3,4,-4,4
"35","Blackburn","Everton",35,164,29,35,1,0,1,0,0,0,0,0,0,0,"HOME",12,12,5,2,0,3,6,-4,6,16,16,5,1,1,3,4,-4,4
"36","Blackburn","Everton",36,164,29,36,1,0,1,0,0,0,0,0,0,0,"HOME",12,12,5,2,0,3,6,-4,6,16,16,5,1,1,3,4,-4,4
"37","Blackburn","Everton",37,164,29,37,1,0,1,0,0,0,0,0,0,0,"HOME",12,12,5,2,0,3,6,-4,6,16,16,5,1,1,3,4,-4,4
"38","Blackburn","Everton",38,164,29,38,1,0,1,1,0,0,0,0,0,0,"HOME",12,12,5,2,0,3,6,-4,6,16,16,5,1,1,3,4,-4,4
"39","Blackburn","Everton",39,164,29,39,1,0,1,1,0,0,0,0,0,0,"HOME",12,12,5,2,0,3,6,-4,6,16,16,5,1,1,3,4,-4,4
"40","Blackburn","Everton",40,164,29,40,1,0,1,1,0,0,0,0,0,0,"HOME",12,12,5,2,0,3,6,-4,6,16,16,5,1,1,3,4,-4,4
"41","Blackburn","Everton",41,164,29,41,1,0,1,1,0,0,0,0,0,0,"HOME",12,12,5,2,0,3,6,-4,6,16,16,5,1,1,3,4,-4,4
"42","Blackburn","Everton",42,164,29,42,1,0,1,1,0,0,0,0,0,0,"HOME",12,12,5,2,0,3,6,-4,6,16,16,5,1,1,3,4,-4,4
"43","Blackburn","Everton",43,164,29,43,1,0,1,1,0,0,0,0,0,0,"HOME",12,12,5,2,0,3,6,-4,6,16,16,5,1,1,3,4,-4,4
"44","Blackburn","Everton",44,164,29,44,1,0,1,1,0,0,0,0,0,0,"HOME",12,12,5,2,0,3,6,-4,6,16,16,5,1,1,3,4,-4,4
"45","Blackburn","Everton",45,164,29,45,1,0,1,1,0,0,0,0,0,0,"HOME",12,12,5,2,0,3,6,-4,6,16,16,5,1,1,3,4,-4,4
"46","Blackburn","Everton",46,164,29,46,1,0,1,1,0,0,0,0,0,0,"HOME",12,12,5,2,0,3,6,-4,6,16,16,5,1,1,3,4,-4,4
"47","Blackburn","Everton",47,164,29,47,1,0,1,1,0,0,0,1,0,0,"HOME",12,12,5,2,0,3,6,-4,6,16,16,5,1,1,3,4,-4,4
"48","Blackburn","Everton",48,164,29,48,1,0,1,1,0,0,0,1,0,0,"HOME",12,12,5,2,0,3,6,-4,6,16,16,5,1,1,3,4,-4,4
"49","Blackburn","Everton",49,164,29,49,1,0,1,1,0,0,0,1,0,0,"HOME",12,12,5,2,0,3,6,-4,6,16,16,5,1,1,3,4,-4,4
"50","Blackburn","Everton",50,164,29,50,1,0,1,1,0,0,0,1,0,0,"HOME",12,12,5,2,0,3,6,-4,6,16,16,5,1,1,3,4,-4,4
