"","nome.y","nome.x","X.1.x","time2","time1","X.x","sb.tor1","sb.tor2","sb.gelb1","sb.gelb2","sb.gelbrot1","sb.gelbrot2","sb.wechsel1","sb.wechsel2","sb.11m1","sb.11m2","vencedor","X.1.y","X.y","position_1","games_1","wins_1","draws_1","losses_1","goals_1","saldo_1","points_1","minuto","X","position_2","games_2","wins_2","draws_2","losses_2","goals_2","saldo_2","points_2"
"30","Everton","AstonVilla",30,29,405,30,0,1,0,0,0,0,0,0,0,0,"AWAY",15,1,1,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0
"31","Everton","AstonVilla",31,29,405,31,0,1,0,0,0,0,0,0,0,0,"AWAY",15,1,1,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0
"32","Everton","AstonVilla",32,29,405,32,0,2,0,0,0,0,0,0,0,0,"AWAY",15,1,1,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0
"33","Everton","AstonVilla",33,29,405,33,0,2,0,0,0,0,0,0,0,0,"AWAY",15,1,1,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0
"34","Everton","AstonVilla",34,29,405,34,0,2,0,0,0,0,0,0,0,0,"AWAY",15,1,1,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0
"35","Everton","AstonVilla",35,29,405,35,0,2,0,0,0,0,0,0,0,0,"AWAY",15,1,1,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0
"36","Everton","AstonVilla",36,29,405,36,0,2,0,0,0,0,0,0,0,0,"AWAY",15,1,1,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0
"37","Everton","AstonVilla",37,29,405,37,0,2,0,0,0,0,0,0,0,0,"AWAY",15,1,1,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0
"38","Everton","AstonVilla",38,29,405,38,0,2,0,0,0,0,0,0,0,0,"AWAY",15,1,1,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0
"39","Everton","AstonVilla",39,29,405,39,0,2,0,0,0,0,0,0,0,0,"AWAY",15,1,1,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0
"40","Everton","AstonVilla",40,29,405,40,0,2,0,0,0,0,0,0,0,0,"AWAY",15,1,1,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0
