"","X.1","nome.y","nome.x","X.1.x","time2","time1","X.x","sb.tor1","sb.tor2","sb.gelb1","sb.gelb2","sb.gelbrot1","sb.gelbrot2","sb.wechsel1","sb.wechsel2","sb.11m1","sb.11m2","vencedor","X.2.x","X.1.y","X.y","position_1","games_1","wins_1","draws_1","losses_1","goals_1","saldo_1","points_1","X.2.y","minuto","X","position_2","games_2","wins_2","draws_2","losses_2","goals_2","saldo_2","points_2"
"25",25,"Leicester","Chelsea",25,1003,631,25,1,0,0,0,0,0,0,0,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"26",26,"Leicester","Chelsea",26,1003,631,26,1,0,0,0,0,0,0,0,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"27",27,"Leicester","Chelsea",27,1003,631,27,1,0,0,1,0,0,0,0,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"28",28,"Leicester","Chelsea",28,1003,631,28,1,0,0,1,0,0,0,0,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"29",29,"Leicester","Chelsea",29,1003,631,29,1,0,0,1,0,0,0,0,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"30",30,"Leicester","Chelsea",30,1003,631,30,1,0,0,1,0,0,0,0,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"31",31,"Leicester","Chelsea",31,1003,631,31,1,0,0,1,0,0,0,0,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"32",32,"Leicester","Chelsea",32,1003,631,32,1,0,0,1,0,0,0,0,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"33",33,"Leicester","Chelsea",33,1003,631,33,1,0,0,1,0,0,0,0,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"34",34,"Leicester","Chelsea",34,1003,631,34,2,0,0,1,0,0,0,0,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"35",35,"Leicester","Chelsea",35,1003,631,35,2,0,0,1,0,0,0,0,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"36",36,"Leicester","Chelsea",36,1003,631,36,2,0,0,1,0,0,0,0,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"37",37,"Leicester","Chelsea",37,1003,631,37,2,0,0,1,0,0,0,0,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"38",38,"Leicester","Chelsea",38,1003,631,38,2,0,0,1,0,0,0,0,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"39",39,"Leicester","Chelsea",39,1003,631,39,2,0,0,1,0,0,0,0,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"40",40,"Leicester","Chelsea",40,1003,631,40,2,0,0,1,0,0,0,0,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"41",41,"Leicester","Chelsea",41,1003,631,41,2,0,0,1,0,0,0,0,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
