"","X.1","nome.y","nome.x","minuto","time2","time1","X.x","sb.tor1","sb.tor2","sb.gelb1","sb.gelb2","sb.gelbrot1","sb.gelbrot2","sb.wechsel1","sb.wechsel2","sb.11m1","sb.11m2","vencedor","X.y","position_1","games_1","wins_1","draws_1","losses_1","goals_1","saldo_1","points_1","X","position_2","games_2","wins_2","draws_2","losses_2","goals_2","saldo_2","points_2"
"1",1,"ManUtd","Swansea",1,985,2288,1,0,0,0,0,0,0,0,0,0,0,"TIE",9,9,31,10,10,11,41,1,40,1,1,31,25,3,3,72,39,78
"2",2,"ManUtd","Swansea",2,985,2288,2,0,0,0,0,0,0,0,0,0,0,"TIE",9,9,31,10,10,11,41,1,40,1,1,31,25,3,3,72,39,78
"3",3,"ManUtd","Swansea",3,985,2288,3,0,0,0,0,0,0,0,0,0,0,"TIE",9,9,31,10,10,11,41,1,40,1,1,31,25,3,3,72,39,78
"4",4,"ManUtd","Swansea",4,985,2288,4,0,0,0,0,0,0,0,0,0,0,"TIE",9,9,31,10,10,11,41,1,40,1,1,31,25,3,3,72,39,78
"5",5,"ManUtd","Swansea",5,985,2288,5,0,0,0,0,0,0,0,0,0,0,"TIE",9,9,31,10,10,11,41,1,40,1,1,31,25,3,3,72,39,78
"6",6,"ManUtd","Swansea",6,985,2288,6,0,0,0,0,0,0,0,0,0,0,"TIE",9,9,31,10,10,11,41,1,40,1,1,31,25,3,3,72,39,78
"7",7,"ManUtd","Swansea",7,985,2288,7,0,0,0,0,0,0,0,0,0,0,"TIE",9,9,31,10,10,11,41,1,40,1,1,31,25,3,3,72,39,78
"8",8,"ManUtd","Swansea",8,985,2288,8,0,0,0,0,0,0,0,0,0,0,"TIE",9,9,31,10,10,11,41,1,40,1,1,31,25,3,3,72,39,78
"9",9,"ManUtd","Swansea",9,985,2288,9,0,0,0,0,0,0,0,0,0,0,"TIE",9,9,31,10,10,11,41,1,40,1,1,31,25,3,3,72,39,78
"10",10,"ManUtd","Swansea",10,985,2288,10,0,0,0,0,0,0,0,0,0,0,"TIE",9,9,31,10,10,11,41,1,40,1,1,31,25,3,3,72,39,78
"11",11,"ManUtd","Swansea",11,985,2288,11,0,0,0,0,0,0,0,0,0,0,"TIE",9,9,31,10,10,11,41,1,40,1,1,31,25,3,3,72,39,78
"12",12,"ManUtd","Swansea",12,985,2288,12,0,0,0,0,0,0,0,0,0,0,"TIE",9,9,31,10,10,11,41,1,40,1,1,31,25,3,3,72,39,78
"13",13,"ManUtd","Swansea",13,985,2288,13,0,0,0,0,0,0,0,0,0,0,"TIE",9,9,31,10,10,11,41,1,40,1,1,31,25,3,3,72,39,78
"14",14,"ManUtd","Swansea",14,985,2288,14,0,0,0,0,0,0,0,0,0,0,"TIE",9,9,31,10,10,11,41,1,40,1,1,31,25,3,3,72,39,78
"15",15,"ManUtd","Swansea",15,985,2288,15,0,0,0,0,0,0,0,0,0,0,"TIE",9,9,31,10,10,11,41,1,40,1,1,31,25,3,3,72,39,78
"16",16,"ManUtd","Swansea",16,985,2288,16,0,0,0,0,0,0,0,0,0,0,"TIE",9,9,31,10,10,11,41,1,40,1,1,31,25,3,3,72,39,78
"17",17,"ManUtd","Swansea",17,985,2288,17,0,1,0,0,0,0,0,0,0,0,"TIE",9,9,31,10,10,11,41,1,40,1,1,31,25,3,3,72,39,78
"18",18,"ManUtd","Swansea",18,985,2288,18,0,1,0,0,0,0,0,0,0,0,"TIE",9,9,31,10,10,11,41,1,40,1,1,31,25,3,3,72,39,78
"19",19,"ManUtd","Swansea",19,985,2288,19,0,1,0,0,0,0,0,0,0,0,"TIE",9,9,31,10,10,11,41,1,40,1,1,31,25,3,3,72,39,78
"20",20,"ManUtd","Swansea",20,985,2288,20,0,1,0,0,0,0,0,0,0,0,"TIE",9,9,31,10,10,11,41,1,40,1,1,31,25,3,3,72,39,78
"21",21,"ManUtd","Swansea",21,985,2288,21,0,1,0,0,0,0,0,0,0,0,"TIE",9,9,31,10,10,11,41,1,40,1,1,31,25,3,3,72,39,78
"22",22,"ManUtd","Swansea",22,985,2288,22,0,1,0,0,0,0,0,0,0,0,"TIE",9,9,31,10,10,11,41,1,40,1,1,31,25,3,3,72,39,78
"23",23,"ManUtd","Swansea",23,985,2288,23,0,1,0,0,0,0,0,0,0,0,"TIE",9,9,31,10,10,11,41,1,40,1,1,31,25,3,3,72,39,78
"24",24,"ManUtd","Swansea",24,985,2288,24,0,1,0,0,0,0,0,0,0,0,"TIE",9,9,31,10,10,11,41,1,40,1,1,31,25,3,3,72,39,78
"25",25,"ManUtd","Swansea",25,985,2288,25,0,1,0,0,0,0,0,0,0,0,"TIE",9,9,31,10,10,11,41,1,40,1,1,31,25,3,3,72,39,78
"26",26,"ManUtd","Swansea",26,985,2288,26,0,1,0,0,0,0,0,0,0,0,"TIE",9,9,31,10,10,11,41,1,40,1,1,31,25,3,3,72,39,78
"27",27,"ManUtd","Swansea",27,985,2288,27,0,1,0,0,0,0,0,0,0,0,"TIE",9,9,31,10,10,11,41,1,40,1,1,31,25,3,3,72,39,78
"28",28,"ManUtd","Swansea",28,985,2288,28,0,1,0,1,0,0,0,0,0,0,"TIE",9,9,31,10,10,11,41,1,40,1,1,31,25,3,3,72,39,78
"29",29,"ManUtd","Swansea",29,985,2288,29,0,1,0,1,0,0,0,0,0,0,"TIE",9,9,31,10,10,11,41,1,40,1,1,31,25,3,3,72,39,78
"30",30,"ManUtd","Swansea",30,985,2288,30,1,1,0,1,0,0,0,0,0,0,"TIE",9,9,31,10,10,11,41,1,40,1,1,31,25,3,3,72,39,78
"31",31,"ManUtd","Swansea",31,985,2288,31,1,1,0,1,0,0,0,0,0,0,"TIE",9,9,31,10,10,11,41,1,40,1,1,31,25,3,3,72,39,78
"32",32,"ManUtd","Swansea",32,985,2288,32,1,1,0,1,0,0,0,0,0,0,"TIE",9,9,31,10,10,11,41,1,40,1,1,31,25,3,3,72,39,78
"33",33,"ManUtd","Swansea",33,985,2288,33,1,1,0,1,0,0,0,0,0,0,"TIE",9,9,31,10,10,11,41,1,40,1,1,31,25,3,3,72,39,78
"34",34,"ManUtd","Swansea",34,985,2288,34,1,1,0,1,0,0,0,0,0,0,"TIE",9,9,31,10,10,11,41,1,40,1,1,31,25,3,3,72,39,78
"35",35,"ManUtd","Swansea",35,985,2288,35,1,1,0,1,0,0,0,0,0,0,"TIE",9,9,31,10,10,11,41,1,40,1,1,31,25,3,3,72,39,78
"36",36,"ManUtd","Swansea",36,985,2288,36,1,1,0,1,0,0,0,0,0,0,"TIE",9,9,31,10,10,11,41,1,40,1,1,31,25,3,3,72,39,78
"37",37,"ManUtd","Swansea",37,985,2288,37,1,1,0,1,0,0,0,0,0,0,"TIE",9,9,31,10,10,11,41,1,40,1,1,31,25,3,3,72,39,78
"38",38,"ManUtd","Swansea",38,985,2288,38,1,1,0,1,0,0,0,0,0,0,"TIE",9,9,31,10,10,11,41,1,40,1,1,31,25,3,3,72,39,78
"39",39,"ManUtd","Swansea",39,985,2288,39,1,1,0,1,0,0,0,0,0,0,"TIE",9,9,31,10,10,11,41,1,40,1,1,31,25,3,3,72,39,78
"40",40,"ManUtd","Swansea",40,985,2288,40,1,1,0,1,0,0,0,0,0,0,"TIE",9,9,31,10,10,11,41,1,40,1,1,31,25,3,3,72,39,78
"41",41,"ManUtd","Swansea",41,985,2288,41,1,1,0,1,0,0,0,0,0,0,"TIE",9,9,31,10,10,11,41,1,40,1,1,31,25,3,3,72,39,78
"42",42,"ManUtd","Swansea",42,985,2288,42,1,1,0,1,0,0,0,0,0,0,"TIE",9,9,31,10,10,11,41,1,40,1,1,31,25,3,3,72,39,78
