"","minuto","sb.tor1","sb.tor2","sb.gelb1","sb.gelb2","sb.gelbrot1","sb.gelbrot2","sb.wechsel1","sb.wechsel2","sb.11m1","sb.11m2","position_1","games_1","wins_1","draws_1","losses_1","goals_1","saldo_1","points_1","position_2","games_2","wins_2","draws_2","losses_2","goals_2","saldo_2","points_2","nome.x","nome.y","vencedor"
"1",1,0,0,0,0,0,0,0,0,0,0,7,18,9,4,5,31,9,31,13,18,5,4,9,17,-7,19,"ManUtd","AstonVilla","HOME"
"2",2,0,0,0,0,0,0,0,0,0,0,7,18,9,4,5,31,9,31,13,18,5,4,9,17,-7,19,"ManUtd","AstonVilla","HOME"
"3",3,0,0,0,0,0,0,0,0,0,0,7,18,9,4,5,31,9,31,13,18,5,4,9,17,-7,19,"ManUtd","AstonVilla","HOME"
"4",4,0,0,0,0,0,0,0,0,0,0,7,18,9,4,5,31,9,31,13,18,5,4,9,17,-7,19,"ManUtd","AstonVilla","HOME"
"5",5,0,0,0,0,0,0,0,0,0,0,7,18,9,4,5,31,9,31,13,18,5,4,9,17,-7,19,"ManUtd","AstonVilla","HOME"
"6",6,0,0,0,0,0,0,0,0,0,0,7,18,9,4,5,31,9,31,13,18,5,4,9,17,-7,19,"ManUtd","AstonVilla","HOME"
"7",7,0,0,0,0,0,0,0,0,0,0,7,18,9,4,5,31,9,31,13,18,5,4,9,17,-7,19,"ManUtd","AstonVilla","HOME"
"8",8,0,0,0,0,0,0,0,0,0,0,7,18,9,4,5,31,9,31,13,18,5,4,9,17,-7,19,"ManUtd","AstonVilla","HOME"
"9",9,0,0,0,0,0,0,0,0,0,0,7,18,9,4,5,31,9,31,13,18,5,4,9,17,-7,19,"ManUtd","AstonVilla","HOME"
"10",10,0,0,0,0,0,0,0,0,0,0,7,18,9,4,5,31,9,31,13,18,5,4,9,17,-7,19,"ManUtd","AstonVilla","HOME"
"11",11,0,0,0,0,0,0,0,0,0,0,7,18,9,4,5,31,9,31,13,18,5,4,9,17,-7,19,"ManUtd","AstonVilla","HOME"
"12",12,0,0,0,0,0,0,0,0,0,0,7,18,9,4,5,31,9,31,13,18,5,4,9,17,-7,19,"ManUtd","AstonVilla","HOME"
"13",13,0,0,1,0,0,0,0,0,0,0,7,18,9,4,5,31,9,31,13,18,5,4,9,17,-7,19,"ManUtd","AstonVilla","HOME"
"14",14,0,1,1,0,0,0,0,0,0,0,7,18,9,4,5,31,9,31,13,18,5,4,9,17,-7,19,"ManUtd","AstonVilla","HOME"
"15",15,0,1,1,0,0,0,0,0,0,0,7,18,9,4,5,31,9,31,13,18,5,4,9,17,-7,19,"ManUtd","AstonVilla","HOME"
"16",16,0,1,1,0,0,0,0,0,0,0,7,18,9,4,5,31,9,31,13,18,5,4,9,17,-7,19,"ManUtd","AstonVilla","HOME"
"17",17,0,1,2,0,0,0,0,0,0,0,7,18,9,4,5,31,9,31,13,18,5,4,9,17,-7,19,"ManUtd","AstonVilla","HOME"
"18",18,0,1,2,0,0,0,0,0,0,0,7,18,9,4,5,31,9,31,13,18,5,4,9,17,-7,19,"ManUtd","AstonVilla","HOME"
"19",19,0,1,2,0,0,0,0,0,0,0,7,18,9,4,5,31,9,31,13,18,5,4,9,17,-7,19,"ManUtd","AstonVilla","HOME"
"20",20,0,1,2,0,0,0,0,0,0,0,7,18,9,4,5,31,9,31,13,18,5,4,9,17,-7,19,"ManUtd","AstonVilla","HOME"
"21",21,1,1,2,0,0,0,0,0,0,0,7,18,9,4,5,31,9,31,13,18,5,4,9,17,-7,19,"ManUtd","AstonVilla","HOME"
"22",22,1,1,2,0,0,0,0,0,0,0,7,18,9,4,5,31,9,31,13,18,5,4,9,17,-7,19,"ManUtd","AstonVilla","HOME"
"23",23,1,1,2,0,0,0,0,0,0,0,7,18,9,4,5,31,9,31,13,18,5,4,9,17,-7,19,"ManUtd","AstonVilla","HOME"
