"","nome.y","nome.x","X.1.x","time2","time1","X.x","sb.tor1","sb.tor2","sb.gelb1","sb.gelb2","sb.gelbrot1","sb.gelbrot2","sb.wechsel1","sb.wechsel2","sb.11m1","sb.11m2","vencedor","X.2.x","X.1.y","X.y","position_1","games_1","wins_1","draws_1","losses_1","goals_1","saldo_1","points_1","X.2.y","minuto","X","position_2","games_2","wins_2","draws_2","losses_2","goals_2","saldo_2","points_2"
"28","HullCity","Liverpool",28,3008,31,28,1,0,1,1,0,0,0,0,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"29","HullCity","Liverpool",29,3008,31,29,1,0,1,1,0,0,0,0,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"30","HullCity","Liverpool",30,3008,31,30,1,0,1,1,0,1,0,0,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"31","HullCity","Liverpool",31,3008,31,31,2,0,1,1,0,1,0,0,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"32","HullCity","Liverpool",32,3008,31,32,2,0,1,1,0,1,0,0,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"33","HullCity","Liverpool",33,3008,31,33,2,0,1,1,0,1,0,0,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"34","HullCity","Liverpool",34,3008,31,34,2,0,1,1,0,1,0,1,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"35","HullCity","Liverpool",35,3008,31,35,2,0,1,1,0,1,0,1,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"36","HullCity","Liverpool",36,3008,31,36,2,0,1,1,0,1,0,1,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"37","HullCity","Liverpool",37,3008,31,37,3,0,1,1,0,1,0,1,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"38","HullCity","Liverpool",38,3008,31,38,3,0,1,2,0,1,0,1,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"39","HullCity","Liverpool",39,3008,31,39,3,0,1,2,0,1,0,1,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"40","HullCity","Liverpool",40,3008,31,40,3,0,1,2,0,1,0,1,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"41","HullCity","Liverpool",41,3008,31,41,3,0,1,2,0,1,0,1,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"42","HullCity","Liverpool",42,3008,31,42,3,0,1,2,0,1,0,1,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"43","HullCity","Liverpool",43,3008,31,43,3,0,1,2,0,1,0,1,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"44","HullCity","Liverpool",44,3008,31,44,3,0,1,2,0,1,0,1,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"45","HullCity","Liverpool",45,3008,31,45,3,0,1,2,0,1,0,1,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"46","HullCity","Liverpool",46,3008,31,46,3,0,1,2,0,1,0,1,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"47","HullCity","Liverpool",47,3008,31,47,3,0,1,2,0,1,0,2,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"48","HullCity","Liverpool",48,3008,31,48,3,0,1,2,0,1,0,2,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"49","HullCity","Liverpool",49,3008,31,49,3,0,1,2,0,1,0,2,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"50","HullCity","Liverpool",50,3008,31,50,3,0,1,2,0,1,0,2,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"51","HullCity","Liverpool",51,3008,31,51,3,0,1,2,0,1,0,2,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"52","HullCity","Liverpool",52,3008,31,52,3,1,1,2,0,1,0,2,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"53","HullCity","Liverpool",53,3008,31,53,4,1,1,2,0,1,0,2,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"54","HullCity","Liverpool",54,3008,31,54,4,1,1,2,0,1,0,2,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"55","HullCity","Liverpool",55,3008,31,55,4,1,1,2,0,1,0,2,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"56","HullCity","Liverpool",56,3008,31,56,4,1,1,2,0,1,0,2,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"57","HullCity","Liverpool",57,3008,31,57,4,1,1,2,0,1,0,2,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"58","HullCity","Liverpool",58,3008,31,58,4,1,1,2,0,1,0,2,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"59","HullCity","Liverpool",59,3008,31,59,4,1,1,2,0,1,0,2,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"60","HullCity","Liverpool",60,3008,31,60,4,1,1,2,0,1,0,2,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"61","HullCity","Liverpool",61,3008,31,61,4,1,1,2,0,1,0,2,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"62","HullCity","Liverpool",62,3008,31,62,4,1,1,2,0,1,0,2,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"63","HullCity","Liverpool",63,3008,31,63,4,1,1,2,0,1,0,2,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"64","HullCity","Liverpool",64,3008,31,64,4,1,1,2,0,1,0,2,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"65","HullCity","Liverpool",65,3008,31,65,4,1,1,2,0,1,0,2,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"66","HullCity","Liverpool",66,3008,31,66,4,1,1,2,0,1,0,2,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"67","HullCity","Liverpool",67,3008,31,67,4,1,1,2,0,1,0,2,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"68","HullCity","Liverpool",68,3008,31,68,4,1,1,2,0,1,0,2,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"69","HullCity","Liverpool",69,3008,31,69,4,1,1,2,0,1,0,2,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"70","HullCity","Liverpool",70,3008,31,70,4,1,1,2,0,1,1,2,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"71","HullCity","Liverpool",71,3008,31,71,4,1,1,2,0,1,1,2,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"72","HullCity","Liverpool",72,3008,31,72,5,1,1,2,0,1,1,2,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"73","HullCity","Liverpool",73,3008,31,73,5,1,1,2,0,1,1,2,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"74","HullCity","Liverpool",74,3008,31,74,5,1,1,2,0,1,1,3,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"75","HullCity","Liverpool",75,3008,31,75,5,1,1,2,0,1,3,3,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"76","HullCity","Liverpool",76,3008,31,76,5,1,1,2,0,1,3,3,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"77","HullCity","Liverpool",77,3008,31,77,5,1,1,2,0,1,3,3,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"78","HullCity","Liverpool",78,3008,31,78,5,1,1,2,0,1,3,3,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"79","HullCity","Liverpool",79,3008,31,79,5,1,1,2,0,1,3,3,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"80","HullCity","Liverpool",80,3008,31,80,5,1,1,2,0,1,3,3,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"81","HullCity","Liverpool",81,3008,31,81,5,1,1,2,0,1,3,3,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"82","HullCity","Liverpool",82,3008,31,82,5,1,1,2,0,1,3,3,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"83","HullCity","Liverpool",83,3008,31,83,5,1,1,2,0,1,3,3,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"84","HullCity","Liverpool",84,3008,31,84,5,1,1,2,0,1,3,3,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"85","HullCity","Liverpool",85,3008,31,85,5,1,1,2,0,1,3,3,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"86","HullCity","Liverpool",86,3008,31,86,5,1,1,2,0,1,3,3,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"87","HullCity","Liverpool",87,3008,31,87,5,1,1,2,0,1,3,3,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"88","HullCity","Liverpool",88,3008,31,88,5,1,1,2,0,1,3,3,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"89","HullCity","Liverpool",89,3008,31,89,5,1,1,2,0,1,3,3,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"90","HullCity","Liverpool",90,3008,31,90,5,1,1,2,0,1,3,3,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
