"","X.1.x","sb.tor1","sb.tor2","sb.gelb1","sb.gelb2","sb.gelbrot1","sb.gelbrot2","sb.wechsel1","sb.wechsel2","sb.11m1","sb.11m2","X.y","position_1","games_1","wins_1","draws_1","losses_1","goals_1","saldo_1","minuto","X","position_2","games_2","wins_2","draws_2","losses_2","goals_2","nome.x","nome.y","vencedor"
"1",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,11,1,1,0,0,0,0,0,"WestBrom","Sunderland","TIE"
"2",2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,11,1,1,0,0,0,0,0,"WestBrom","Sunderland","TIE"
"3",3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,11,1,1,0,0,0,0,0,"WestBrom","Sunderland","TIE"
"4",4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,11,1,1,0,0,0,0,0,"WestBrom","Sunderland","TIE"
"5",5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,11,1,1,0,0,0,0,0,"WestBrom","Sunderland","TIE"
"6",6,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,11,1,1,0,0,0,0,0,"WestBrom","Sunderland","TIE"
"7",7,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,11,1,1,0,0,0,0,0,"WestBrom","Sunderland","TIE"
"8",8,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,11,1,1,0,0,0,0,0,"WestBrom","Sunderland","TIE"
"9",9,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,11,1,1,0,0,0,0,0,"WestBrom","Sunderland","TIE"
"10",10,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,11,1,1,0,0,0,0,0,"WestBrom","Sunderland","TIE"
"11",11,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,11,1,1,0,0,0,0,0,"WestBrom","Sunderland","TIE"
"12",12,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,11,1,1,0,0,0,0,0,"WestBrom","Sunderland","TIE"
"13",13,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,11,1,1,0,0,0,0,0,"WestBrom","Sunderland","TIE"
"14",14,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,11,1,1,0,0,0,0,0,"WestBrom","Sunderland","TIE"
"15",15,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,11,1,1,0,0,0,0,0,"WestBrom","Sunderland","TIE"
"16",16,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,11,1,1,0,0,0,0,0,"WestBrom","Sunderland","TIE"
"17",17,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,11,1,1,0,0,0,0,0,"WestBrom","Sunderland","TIE"
"18",18,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,11,1,1,0,0,0,0,0,"WestBrom","Sunderland","TIE"
"19",19,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,11,1,1,0,0,0,0,0,"WestBrom","Sunderland","TIE"
"20",20,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,11,1,1,0,0,0,0,0,"WestBrom","Sunderland","TIE"
"21",21,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,11,1,1,0,0,0,0,0,"WestBrom","Sunderland","TIE"
"22",22,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,11,1,1,0,0,0,0,0,"WestBrom","Sunderland","TIE"
"23",23,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,11,1,1,0,0,0,0,0,"WestBrom","Sunderland","TIE"
"24",24,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,11,1,1,0,0,0,0,0,"WestBrom","Sunderland","TIE"
"25",25,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,11,1,1,0,0,0,0,0,"WestBrom","Sunderland","TIE"
"26",26,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,11,1,1,0,0,0,0,0,"WestBrom","Sunderland","TIE"
"27",27,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,11,1,1,0,0,0,0,0,"WestBrom","Sunderland","TIE"
"28",28,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,11,1,1,0,0,0,0,0,"WestBrom","Sunderland","TIE"
"29",29,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,11,1,1,0,0,0,0,0,"WestBrom","Sunderland","TIE"
"30",30,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,11,1,1,0,0,0,0,0,"WestBrom","Sunderland","TIE"
