"","X.1.x","sb.tor1","sb.tor2","sb.gelb1","sb.gelb2","sb.gelbrot1","sb.gelbrot2","sb.wechsel1","sb.wechsel2","sb.11m1","sb.11m2","X.y","position_1","games_1","wins_1","draws_1","losses_1","goals_1","saldo_1","minuto","X","position_2","games_2","wins_2","draws_2","losses_2","goals_2","nome.x","nome.y","vencedor"
"1",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,20,1,1,0,0,0,0,0,"Chelsea","PortsmouthFC","HOME"
"2",2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,20,1,1,0,0,0,0,0,"Chelsea","PortsmouthFC","HOME"
"3",3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,20,1,1,0,0,0,0,0,"Chelsea","PortsmouthFC","HOME"
"4",4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,20,1,1,0,0,0,0,0,"Chelsea","PortsmouthFC","HOME"
"5",5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,20,1,1,0,0,0,0,0,"Chelsea","PortsmouthFC","HOME"
"6",6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,20,1,1,0,0,0,0,0,"Chelsea","PortsmouthFC","HOME"
"7",7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,20,1,1,0,0,0,0,0,"Chelsea","PortsmouthFC","HOME"
"8",8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,20,1,1,0,0,0,0,0,"Chelsea","PortsmouthFC","HOME"
"9",9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,20,1,1,0,0,0,0,0,"Chelsea","PortsmouthFC","HOME"
"10",10,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,20,1,1,0,0,0,0,0,"Chelsea","PortsmouthFC","HOME"
"11",11,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,20,1,1,0,0,0,0,0,"Chelsea","PortsmouthFC","HOME"
"12",12,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,20,1,1,0,0,0,0,0,"Chelsea","PortsmouthFC","HOME"
"13",13,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,20,1,1,0,0,0,0,0,"Chelsea","PortsmouthFC","HOME"
"14",14,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,20,1,1,0,0,0,0,0,"Chelsea","PortsmouthFC","HOME"
"15",15,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,20,1,1,0,0,0,0,0,"Chelsea","PortsmouthFC","HOME"
"16",16,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,20,1,1,0,0,0,0,0,"Chelsea","PortsmouthFC","HOME"
"17",17,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,20,1,1,0,0,0,0,0,"Chelsea","PortsmouthFC","HOME"
"18",18,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,20,1,1,0,0,0,0,0,"Chelsea","PortsmouthFC","HOME"
"19",19,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,20,1,1,0,0,0,0,0,"Chelsea","PortsmouthFC","HOME"
"20",20,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,20,1,1,0,0,0,0,0,"Chelsea","PortsmouthFC","HOME"
"21",21,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,20,1,1,0,0,0,0,0,"Chelsea","PortsmouthFC","HOME"
"22",22,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,20,1,1,0,0,0,0,0,"Chelsea","PortsmouthFC","HOME"
"23",23,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,20,1,1,0,0,0,0,0,"Chelsea","PortsmouthFC","HOME"
"24",24,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,20,1,1,0,0,0,0,0,"Chelsea","PortsmouthFC","HOME"
"25",25,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,20,1,1,0,0,0,0,0,"Chelsea","PortsmouthFC","HOME"
"26",26,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,20,1,1,0,0,0,0,0,"Chelsea","PortsmouthFC","HOME"
"27",27,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,20,1,1,0,0,0,0,0,"Chelsea","PortsmouthFC","HOME"
"28",28,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,20,1,1,0,0,0,0,0,"Chelsea","PortsmouthFC","HOME"
"29",29,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,20,1,1,0,0,0,0,0,"Chelsea","PortsmouthFC","HOME"
"30",30,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,20,1,1,0,0,0,0,0,"Chelsea","PortsmouthFC","HOME"
"31",31,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,20,1,1,0,0,0,0,0,"Chelsea","PortsmouthFC","HOME"
