"","nome.y","nome.x","X.1.x","time2","time1","X.x","sb.tor1","sb.tor2","sb.gelb1","sb.gelb2","sb.gelbrot1","sb.gelbrot2","sb.wechsel1","sb.wechsel2","sb.11m1","sb.11m2","vencedor","X.1.y","X.y","position_1","games_1","wins_1","draws_1","losses_1","goals_1","saldo_1","points_1","minuto","X","position_2","games_2","wins_2","draws_2","losses_2","goals_2","saldo_2","points_2"
"29","Burnley","Leicester",29,1132,1003,29,0,0,0,0,0,0,0,0,0,0,"HOME",16,16,16,4,1,1,2,4,-3,4,15,15,15,4,1,1,2,3,-2,4
"30","Burnley","Leicester",30,1132,1003,30,0,0,0,0,0,0,0,0,0,0,"HOME",16,16,16,4,1,1,2,4,-3,4,15,15,15,4,1,1,2,3,-2,4
"31","Burnley","Leicester",31,1132,1003,31,0,0,0,0,0,0,0,0,0,0,"HOME",16,16,16,4,1,1,2,4,-3,4,15,15,15,4,1,1,2,3,-2,4
"32","Burnley","Leicester",32,1132,1003,32,0,0,0,0,0,0,0,0,0,0,"HOME",16,16,16,4,1,1,2,4,-3,4,15,15,15,4,1,1,2,3,-2,4
"33","Burnley","Leicester",33,1132,1003,33,0,0,0,0,0,0,0,0,0,0,"HOME",16,16,16,4,1,1,2,4,-3,4,15,15,15,4,1,1,2,3,-2,4
"34","Burnley","Leicester",34,1132,1003,34,0,0,0,0,0,0,0,0,0,0,"HOME",16,16,16,4,1,1,2,4,-3,4,15,15,15,4,1,1,2,3,-2,4
"35","Burnley","Leicester",35,1132,1003,35,0,0,0,0,0,0,0,0,0,0,"HOME",16,16,16,4,1,1,2,4,-3,4,15,15,15,4,1,1,2,3,-2,4
"36","Burnley","Leicester",36,1132,1003,36,0,0,0,0,0,0,0,0,0,0,"HOME",16,16,16,4,1,1,2,4,-3,4,15,15,15,4,1,1,2,3,-2,4
"37","Burnley","Leicester",37,1132,1003,37,0,0,0,0,0,0,0,0,0,0,"HOME",16,16,16,4,1,1,2,4,-3,4,15,15,15,4,1,1,2,3,-2,4
"38","Burnley","Leicester",38,1132,1003,38,0,0,0,0,0,0,0,0,0,0,"HOME",16,16,16,4,1,1,2,4,-3,4,15,15,15,4,1,1,2,3,-2,4
"39","Burnley","Leicester",39,1132,1003,39,0,0,0,0,0,0,0,0,0,0,"HOME",16,16,16,4,1,1,2,4,-3,4,15,15,15,4,1,1,2,3,-2,4
"40","Burnley","Leicester",40,1132,1003,40,0,0,0,0,0,0,0,0,0,0,"HOME",16,16,16,4,1,1,2,4,-3,4,15,15,15,4,1,1,2,3,-2,4
"41","Burnley","Leicester",41,1132,1003,41,0,0,0,0,0,0,0,0,0,0,"HOME",16,16,16,4,1,1,2,4,-3,4,15,15,15,4,1,1,2,3,-2,4
"42","Burnley","Leicester",42,1132,1003,42,0,0,0,0,0,0,0,0,0,0,"HOME",16,16,16,4,1,1,2,4,-3,4,15,15,15,4,1,1,2,3,-2,4
"43","Burnley","Leicester",43,1132,1003,43,0,0,0,0,0,0,0,0,0,0,"HOME",16,16,16,4,1,1,2,4,-3,4,15,15,15,4,1,1,2,3,-2,4
"44","Burnley","Leicester",44,1132,1003,44,0,0,0,0,0,0,0,0,0,0,"HOME",16,16,16,4,1,1,2,4,-3,4,15,15,15,4,1,1,2,3,-2,4
"45","Burnley","Leicester",45,1132,1003,45,0,0,0,0,0,0,0,0,0,0,"HOME",16,16,16,4,1,1,2,4,-3,4,15,15,15,4,1,1,2,3,-2,4
"46","Burnley","Leicester",46,1132,1003,46,1,0,0,0,0,0,0,0,0,0,"HOME",16,16,16,4,1,1,2,4,-3,4,15,15,15,4,1,1,2,3,-2,4
